id;Relevant?;title
2995;n;Normalizing Cross-Border Healthcare in Europe via New E-Prescription Paradigms
3037;n;A robust multimodal biometric security system using the polynomial curve technique within Shamir's secret sharing algorithm
3097;n;Visual cryptography for MMBS of wireless images for ATM banking
3099;n;Vitality detection from biometrics: State-of-the-art
3133;n;Cooperative neural network background model for multi-modal video surveillance
3136;n;User-friendly security robots
3192;n;Attack against robust watermarking-based multimodal biometric recognition systems
3247;y;New fully functioning digital hologram recording system and its applications
3253;n;Integrating palmprint and fingerprint for identity verification
3264;y;Enhancing DoDAF with a HCPN executable model to support validation
3267;y;Safety analysis of helicopter models using timed automata hybrid systems
3437;y;On dynamic and concurrent model of web service components
3446;n;Voltage security assessment and optimal load shedding of power system using the case-based reasoning approach
3459;y;Incremental checkpointing with application to distributed discrete event simulation
3471;y;Finite state machine IP watermarking: A tutorial
3631;y;Denial of Service: An Example
3641;y;Continuous variable quantum key distribution with multi-mode signals for noisy detectors
3667;y;Interconnection networks: Architectural challenges for utility computing data centers
3683;y;Binary Tree Encryption with Constant-Size Public Key in the Standard Model
3720;y;Blockchain based Secured Virtual Machine Image Monitor
3776;y;Principled Data-Driven Decision Support for Cyber-Forensic Investigations
3800;n;A method of hidden faults opposition for FPGA-based components of safety-related systems
3889;y;A formal downgrading policy framework for the secure sharing of mission sensitive data and services
4016;y;Tests of robustness of GMM speaker verification in VoIP telephony
4053;y;The formal modelling and verification of safety critical ATP software design
4069;y;Monotonicity and partial results protection for mobile agents
4078;n;International aerial robotics competition 2004
4143;y;Power Consumption Aware Software Architecture for M-Health Applications with Adaptive Security of Network Protocols
4148;y;Security Policy Transition Framework for Software Defined Networks
4151;y;Research on Measures for Computer Application System Security Technology Strengthening
4303;y;TCP-Fuzz: Detecting Memory and Semantic Bugs in TCP Stacks with Fuzzing
4325;n;Formal Specification and Verification of wireless networked self-organized Systems on Chip
