"Item type","Authors","Title","Journal","Publication year","Volume","Issue","Pages","Publisher","Address","Proceedings title","Conference location","Date published","ISBN","ISSN","URLs","DOI","Abstract","Keywords","Notes","Sub-type","Series"
"Conference Paper","Salehie M,Pasquale L,Omoronyia I,Nuseibeh B","Adaptive Security and Privacy in Smart Grids: A Software Engineering Vision","","2012","","","46–49","IEEE Press","Zurich, Switzerland","Proceedings of the First International Workshop on Software Engineering Challenges for the Smart Grid","","2012","9781467318648","","","","Despite the benefits offered by smart grids, energy producers, distributors and consumers are increasingly concerned about possible security and privacy threats. These threats typically manifest themselves at runtime as new usage scenarios arise and vulnerabilities are discovered. Adaptive security and privacy promise to address these threats by increasing awareness and automating prevention, detection and recovery from security and privacy requirements' failures at runtime by re-configuring system controls and perhaps even changing requirements. This paper discusses the need for adaptive security and privacy in smart grids by presenting some motivating scenarios. We then outline some research issues that arise in engineering adaptive security. We particularly scrutinize published reports by NIST on smart grid security and privacy as the basis for our discussions.","adaptive software, security and privacy, smart grid, security requirements","","","SE4SG '12"
"Conference Paper","Pasquale L,Salehie M,Ali R,Omoronyia I,Nuseibeh B","On the Role of Primary and Secondary Assets in Adaptive Security: An Application in Smart Grids","","2012","","","165–170","IEEE Press","Zurich, Switzerland","Proceedings of the 7th International Symposium on Software Engineering for Adaptive and Self-Managing Systems","","2012","9781467317870","","","","Adaptive security aims to protect valuable assets managed by a system, by applying a varying set of security controls. Engineering adaptive security is not an easy task. A set of effective security countermeasures should be identified. These countermeasures should not only be applied to (primary) assets that customers desire to protect, but also to other (secondary) assets that can be exploited by attackers to harm the primary assets. Another challenge arises when assets vary dynamically at runtime. To accommodate these variabilities, it is necessary to monitor changes in assets, and apply the most appropriate countermeasures at runtime. The paper provides three main contributions for engineering adaptive security. First, it proposes a modeling notation to represent primary and secondary assets, along with their variability. Second, it describes how to use the extended models in engineering security requirements and designing required monitoring functions. Third, the paper illustrates our approach through a set of adaptive security scenarios in the customer domain of a smart grid. We suggest that modeling secondary assets aids the deployment of countermeasures, and, in combination with a representation of assets variability, facilitates the design of monitoring functions.","adaptive security, assets, smart grid, adaptive software","","","SEAMS '12"
"Conference Paper","Sartoli S,Namin AS","A Semantic Model for Action-Based Adaptive Security","","2017","","","1130–1135","Association for Computing Machinery","New York, NY, USA","Proceedings of the Symposium on Applied Computing","Marrakech, Morocco","2017","9781450344869","","https://doi.org/10.1145/3019612.3019755;http://dx.doi.org/10.1145/3019612.3019755","10.1145/3019612.3019755","This paper presents a semantic model to represent topology-based security requirements, recommend measures to address any possible security violations, and thus make the underlying systems compliant with its security requirements. The proposed action-based model is capable of adaptively adjusting the topological model of a given system in response to changes in the structure of its operational environment. The proposed framework benefits from non-monotonic reasoning to reason about possible execution paths and hence recommend actions to prevent security requirements violations. The results of our case studies show that using the proposed approach to enforce security measures, not only can we detect possible security violations caused by changes in the structure of operational environment, but also recommend actions to address possible violations.","answer set programming, access control, formal methods, topology awareness, adaptive security","","","SAC '17"
"Conference Paper","Torjusen AB,Abie H,Paintsil E,Trcek D,Skomedal rasmund","Towards Run-Time Verification of Adaptive Security for IoT in EHealth","","2014","","","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2014 European Conference on Software Architecture Workshops","Vienna, Austria","2014","9781450327787","","https://doi.org/10.1145/2642803.2642807;http://dx.doi.org/10.1145/2642803.2642807","10.1145/2642803.2642807","This paper integrates run-time verification enablers in the feedback adaptation loop of the ASSET adaptive security framework for Internet of Things (IoT) in the eHealth settings and instantiates the resulting framework with Colored Petri Nets. The run-time enablers make machine-readable formal models of a system state and context available at run-time. In addition, they make requirements that define the objectives of verification available at run-time as formal specifications and enable dynamic context monitoring and adaptation. Run-time adaptive behavior that deviates from the normal mode of operation of the system represents a major threat to the sustainability of critical eHealth services. Therefore, the integration of run-time enablers into the ASSET adaptive framework could lead to a sustainable security framework for IoT in eHealth.","IoT, Formal Run-time Verification, eHealth, Adaptive Security","","","ECSAW '14"
"Conference Paper","Blasi L,Savola R,Abie H,Rotondi D","Applicability of Security Metrics for Adaptive Security Management in a Universal Banking Hub System","","2010","","","197–204","Association for Computing Machinery","New York, NY, USA","Proceedings of the Fourth European Conference on Software Architecture: Companion Volume","Copenhagen, Denmark","2010","9781450301794","","https://doi.org/10.1145/1842752.1842792;http://dx.doi.org/10.1145/1842752.1842792","10.1145/1842752.1842792","Banking applications require a high standard of security, resilience and adaptation. The results presented here were obtained from a case study of the deployment of the security metrics-driven adaptive security solutions of a distributed middleware in the context of monetary transfers. The focus of this study is on the analysis of the applicability of security metrics for adaptive authentication, authorization, and end-to-end confidentiality, and the applicability of trust metrics.","security measures, adaptive security, security metrics","","","ECSA '10"
"Conference Paper","Zeitz WA,Fairman B,Zeitz B","The Multi-State Information System: Frontend Processing and Data Security","","1974","","","696–704","Association for Computing Machinery","New York, NY, USA","Proceedings of the 1974 Annual ACM Conference - Volume 2","","1974","9781450378505","","https://doi.org/10.1145/1408800.1408885;http://dx.doi.org/10.1145/1408800.1408885","10.1145/1408800.1408885","The Multi-State Information System (MSIS), a patient oriented, clinical and administrative system designed for use in Psychiatric hospitals and Community Mental Health Centers, is currently in use in twelve states and several countries. The need to protect the confidentiality of the highly sensitive data stored by the users of this system and at the same time provide ease of access to a wide range of non-technical personnel actively engaged in the legitimate use of this data was mandatory. This paper describes the MSIS FRONTEND processing which was designed to accommodate authorized personnel who are not technically sophisticated, and at the same time, deny access to unauthorized personnel by combining the FRONTEND with internal OS and HASP modifications also described.","data security, job control, data management, information processing","","","ACM '74"
"Conference Paper","Chakravarthy SD,Kingsly PI,Sadhasivam M,Jayakumar C","Multi-Modal Biometric Approach to Enable High Security in Mobile Adhoc Network","","2012","","","1148–1154","Association for Computing Machinery","New York, NY, USA","Proceedings of the International Conference on Advances in Computing, Communications and Informatics","Chennai, India","2012","9781450311960","","https://doi.org/10.1145/2345396.2345580;http://dx.doi.org/10.1145/2345396.2345580","10.1145/2345396.2345580","The application of multi-modal biometric methods in securing mobile ad-hoc network has been addressed in this paper. A MANET is an infra structure less network for mobile devices connected by wireless link. The mobile network is often vulnerable to security attacks even though there are many traditional approaches, due to its features of open medium and dynamic changing topology. Multi-modal biometrics is deployed to work with intrusion detection systems (IDSs) to overcome the shortcomings of uni-modal biometric systems. The cluster head is elected in which Dempster-Shafer theory is evaluated in order to increase the observation accuracy to maintain high security and trusted MANET. Since each device in the network has measurement and estimated limitations, more than one device needs to be chosen, and observations can be fused to increase observation accuracy using Dempster--Shafer theory for data fusion.","artificial neural networks, decision tree, IDS- intrusion detection system, MANET- mobile adhoc network, Dempster Shafer theory, naive Bayes","","","ICACCI '12"
"Journal Article","Tziakouris G,Bahsoon R,Babar MA","A Survey on Self-Adaptive Security for Large-Scale Open Environments","ACM Comput. Surv.","2018","51","5","","Association for Computing Machinery","New York, NY, USA","","","2018-10","","0360-0300","https://doi.org/10.1145/3234148;http://dx.doi.org/10.1145/3234148","10.1145/3234148","Contemporary software systems operate in heterogeneous, dynamic, and distributed environments, where security needs change at runtime. The security solutions for such systems need to be adaptive for the continuous satisfaction of the software systems’ security goals. Whilst the existing research on self-adaptive security has made notable advancement towards designing and engineering self-adaptive security solutions, there exists little work on the taxonomic analysis of the architectures of the reported research and its applicability for open and ultra-large environments. We propose an architecture-centric taxonomy for mapping and comparing the current research and identifying the future research directions in this field. The proposed taxonomy has been used to review the representative work on the architectural characteristics that self-adaptive security systems must maintain for their effective application in large-scale open environments. We reflect on the findings from the taxonomic analysis and discuss the design principles, research challenges and limitations reported in the state of the art and practice. We outline the directions for the future research on architectural level support for self-adaptive security systems for large-scale open environments.","ultra-large environments, Self-adaptive systems","","",""
"Conference Paper","Shepherd C,Akram RN,Markantonakis K","Towards Trusted Execution of Multi-Modal Continuous Authentication Schemes","","2017","","","1444–1451","Association for Computing Machinery","New York, NY, USA","Proceedings of the Symposium on Applied Computing","Marrakech, Morocco","2017","9781450344869","","https://doi.org/10.1145/3019612.3019652;http://dx.doi.org/10.1145/3019612.3019652","10.1145/3019612.3019652","The emergence of powerful, sensor-rich devices has led to the development of continuous authentication (CA) schemes using off-the-shelf hardware, where user behaviour is compared to past experience to produce an authentication decision with the aim of addressing challenges with traditional authentication schemes. Current CA proposals, however, have largely neglected adversaries present in a real-world deployment, namely the ubiquity of mal ware and software attacks. This has particular importance when a device cannot be trusted by a third-party, such as a corporation, that controls access to assets based on that decision. A software compromise, either on the scheme implementation or platform, may enable an adversary to modify authentication scores to alter the status of the device in reality, give insights into user behaviour, or gain unauthorised access to restricted assets. Hence, for the first time, we examine two standardised constructs that offer isolated and trusted execution - Secure Elements (SEs) and Trusted Execution Environments (TEEs) - even when an adversary has root-level privileges, and propose measures for providing trusted CA while retaining deployability. Based on these, we implement the first system for evaluating TEE-based CA on a consumer mobile device using Intel SGX, thus providing confidentiality, integrity and trust while removing the main platform from the TCB. We present an empirical evaluation of TEE-and non-TEE performance using methods proposed in related CA schemes. Our results indicate that trusted CA can be provided with no significant performance penalty, and may even offer performance benefits.","trusted execution environments, continuous authentication, mobile security, trusted computing","","","SAC '17"
"Conference Paper","Jean E,Jiao Y,Hurson AR,Potok TE","Boosting-Based Distributed and Adaptive Security-Monitoring through Agent Collaboration","","2007","","","516–520","IEEE Computer Society","USA","Proceedings of the 2007 IEEE/WIC/ACM International Conferences on Web Intelligence and Intelligent Agent Technology - Workshops","","2007","9780769530284","","","","The use of mobile agents to support the development of practical applications is limited primarily by the risks to which hosts in the system are subject to. This article introduces a distributed and adaptive security-monitoring framework to decrease such potential threats. The proposed framework is based on a modified version of the popular Boosting algorithm to classify malicious agents based on their execution patterns on current and prior hosts. Having implemented the framework for the Aglet platform, we herein present the results of our experiments showcasing the detection of agent entities in the system with intention deviating from that of their well-behaved counterparts.","","","","WI-IATW '07"
"Conference Paper","Saadatmand M,Cicchetti A,Sjödin M","Design of Adaptive Security Mechanisms for Real-Time Embedded Systems","","2012","","","121–134","Springer-Verlag","Berlin, Heidelberg","Proceedings of the 4th International Conference on Engineering Secure Software and Systems","Eindhoven, The Netherlands","2012","9783642281655","","https://doi.org/10.1007/978-3-642-28166-2_12;http://dx.doi.org/10.1007/978-3-642-28166-2_12","10.1007/978-3-642-28166-2_12","Introducing security features in a system is not free and brings along its costs and impacts. Considering this fact is essential in the design of real-time embedded systems which have limited resources. To ensure correct design of these systems, it is important to also take into account impacts of security features on other non-functional requirements, such as performance and energy consumption. Therefore, it is necessary to perform trade-off analysis among non-functional requirements to establish balance among them. In this paper, we target the timing requirements of real-time embedded systems, and introduce an approach for choosing appropriate encryption algorithms at runtime, to achieve satisfaction of timing requirements in an adaptive way, by monitoring and keeping a log of their behaviors. The approach enables the system to adopt a less or more time consuming (but presumably stronger) encryption algorithm, based on the feedback on previous executions of encryption processes. This is particularly important for systems with high degree of complexity which are hard to analyze statistically.","real-time embedded systems, trade-off, runtime adaptation, security","","","ESSoS'12"
"Conference Paper","AbdelRahim S,Ghoneimy S,Selim G","Adaptive Security Scheme for Real-Time VoIP Using Multi-Layer Steganography","","2018","","","106–110","Association for Computing Machinery","New York, NY, USA","Proceedings of the 7th International Conference on Software and Information Engineering","Cairo, Egypt","2018","9781450364690","","https://doi.org/10.1145/3220267.3220281;http://dx.doi.org/10.1145/3220267.3220281","10.1145/3220267.3220281","Nowadays Voice over Internet Protocol (VoIP) is one of the most widely used technologies to transmit the voice. With the widely spreading in such technology many counters attaches tried to apply different counter measure. In this paper we tried to build a counter countermeasure which increases the security of specific messages by performing a complicated three security stages. These stages are; embedding the selected voice into RGB image, hidden the image in voice signal and perform data integrity using real time protocol (RTP). Following such a proposed algorithm, the process of eavesdrop or counter attacks will not be able to break such a multi-layer security process. In this paper, we propose an Adaptive VoIP steganography approach to hide the audio information within images to enhance the security of the voice communications. The proposed system is completely implemented and developed using C++ in OPNET Modeler. Simulation results showed that the proposed system is robust enough to overcome many attacks such as denial of service, man-in-the-middle and eavesdrop without affecting network performance or quality of service.","Steganography, audio security, Least Significant Bit, Voice over Internet Protocol, Real Time Protocol","","","ICSIE '18"
"Conference Paper","Poslad S,Hamdi M,Abie H","Adaptive Security and Privacy Management for the Internet of Things (ASPI 2013)","","2013","","","373–378","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2013 ACM Conference on Pervasive and Ubiquitous Computing Adjunct Publication","Zurich, Switzerland","2013","9781450322157","","https://doi.org/10.1145/2494091.2499770;http://dx.doi.org/10.1145/2494091.2499770","10.1145/2494091.2499770","The Internet of Things (IoT) was initially proposed to connect specific things via the Internet using devices, such as RFID readers, to realise intelligent identification and management. This vision has since expanded to include a more diverse range of devices, services and networks to become an Internet of anything, anywhere, connected, anyhow. Security and privacy management for the IoT remains a core challenge.Many IoT devices maybe may have zero or minimal security by design because they are low resource, low power devices, designed to work as closed vertical services. Security threats and risks may be higher because devices are unattended, use local wireless communication that have no or weak encryption making them more susceptible to eavesdropping and because users find security too unusable to setup and operate and hence leave devices relatively unsecure. It may also be less problematic to reproduce and fake data sources, access nodes and data sinks that interact with IoT devices in order to attack devices or the services they access. Devices can be moved between or removed from private, communal, public and hostile physical spaces. There is a higher risk of a loss of privacy for human users and organisations because of an increased ability to eavesdrop, because of wireless networks with soft boundaries, and because embedded environment devices can sense smaller amounts of physical trails with a greater degree of sensitivity and accuracy. A specific focus is on the need for IoT security to adapt. The adaptation has multiple dimensions. We can adapt existing conventional security models to more effectively secure an IoT. We can adapt security pre-planned and unplanned context changes such as different moving around in different physical spaces. IoT systems can be designed to self-adapt. IoT systems need to adapt to the active (re) configuration and maintenance of IoT devices and systems of devices by users and by artificial agents.The proposed workshop intends to bring together researchers and practitioners from relevant fields to present and disseminate the latest on-going research focussing on adapting security, privacy & management for the Internet of Things. It aims to facilitate knowledge transfer and synergy, bridge gaps between different research communities and groups, to lay down foundation for common purposes, and to help identify opportunities and challenges for interested researchers and technology and system developers.","ubiquitous computing, internet of things, privacy, user centred management, security","","","UbiComp '13 Adjunct"
"Conference Paper","Pasquale L,Menghi C,Salehie M,Cavallaro L,Omoronyia I,Nuseibeh B","SecuriTAS: A Tool for Engineering Adaptive Security","","2012","","","","Association for Computing Machinery","New York, NY, USA","Proceedings of the ACM SIGSOFT 20th International Symposium on the Foundations of Software Engineering","Cary, North Carolina","2012","9781450316149","","https://doi.org/10.1145/2393596.2393618;http://dx.doi.org/10.1145/2393596.2393618","10.1145/2393596.2393618","This paper presents SecuriTAS, a tool to engineer adaptive security. It allows software designers to model security concerns together with the requirements of a system. This model is then used at runtime to analyze changes in security concerns and select the best set of security controls necessary to protect the system.","security, dynamic access control, goals, adaptive software","","","FSE '12"
"Conference Paper","Jiang K,Lifa A,Eles P,Peng Z,Jiang W","Energy-Aware Design of Secure Multi-Mode Real-Time Embedded Systems with FPGA Co-Processors","","2013","","","109–118","Association for Computing Machinery","New York, NY, USA","Proceedings of the 21st International Conference on Real-Time Networks and Systems","Sophia Antipolis, France","2013","9781450320580","","https://doi.org/10.1145/2516821.2516830;http://dx.doi.org/10.1145/2516821.2516830","10.1145/2516821.2516830","We approach the emerging area of energy efficient, secure real-time embedded systems design. Many modern embedded systems have to fulfill strict security constraints and are often required to meet stringent deadlines in different operation modes, where the number and nature of active tasks vary (dynamic task sets). In this context, the use of dynamic voltage/frequency scaling (DVFS) techniques and onboard field-programmable gate array (FPGA) co-processors offer new dimensions for energy savings and performance enhancement. We propose a novel design framework that provides the best security protection consuming the minimal energy for all operation modes of a system. Extensive experiments demonstrate the efficiency of our techniques.","","","","RTNS '13"
"Conference Paper","Tsigkanos C,Pasquale L,Ghezzi C,Nuseibeh B","Ariadne: Topology Aware Adaptive Security for Cyber-Physical Systems","","2015","","","729–732","IEEE Press","Florence, Italy","Proceedings of the 37th International Conference on Software Engineering - Volume 2","","2015","","","","","This paper presents Ariadne, a tool for engineering topology aware adaptive security for cyber-physical systems. It allows security software engineers to model security requirements together with the topology of the operational environment. This model is then used at runtime to perform speculative threat analysis to reason about the consequences that topological changes arising from the movement of agents and assets can have on the satisfaction of security requirements. Our tool also identifies an adaptation strategy that applies security controls when necessary to prevent potential security requirements violations.","","","","ICSE '15"
"Conference Paper","Roitzsch M,Miemietz T,Von Elm C,Asmussen N","Software-Defined CPU Modes","","2023","","","23–29","Association for Computing Machinery","New York, NY, USA","Proceedings of the 19th Workshop on Hot Topics in Operating Systems","Providence, RI, USA","2023","","","https://doi.org/10.1145/3593856.3595894;http://dx.doi.org/10.1145/3593856.3595894","10.1145/3593856.3595894","Our CPUs contain a compute instruction set, which regular applications use. But they also feature an intricate underworld of different CPU modes, combined with trap and exception handling to transition between these modes. These mechanisms are manifold and complex, yet the layering and functionality offered by the CPU modes is fixed. We have to take what CPU vendors provide, including potential security problems from unneeded modes. This paper explores the question, whether CPU modes could instead be defined entirely by software. We show how such a design would function and explore the advantages it enables. We believe that pushing all existing modes under a common design umbrella would enforce a cleaner structure and more control over exposed functionality. At the same time, the flexibility of software-defined modes enables interesting new use cases.","microcode, mode transitions, processor modes","","","HOTOS '23"
