"Item type","Authors","Editors","Title","Journal","Publication year","Volume","Issue","Pages","Institution","Publisher","Address","Proceedings title","Date published","ISBN","ISBN (alt.)","ISSN","URLs","DOI","Abstract","Keywords","Notes","Affiliation","Language","Series"
"Journal Article","Huang M,Wei Z,Lin Y","","Forecasting-aided state estimation based on deep learning for hybrid AC/DC distribution systems","APPLIED ENERGY","2022","306","B","","","ELSEVIER SCI LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND","","2022-01-15","","","0306-2619","http://dx.doi.org/10.1016/j.apenergy.2021.118119","10.1016/j.apenergy.2021.118119","To accommodate a higher penetration of distributed energy resources, distribution systems are moving toward hybrid AC/DC configurations for secure and economic operation. In this regard, this paper proposes a forecasting-aided state estimator (FASE) for hybrid AC/DC distribution systems to obtain accurate estimates for online security monitoring and control. The proposed FASE is designed in a distributed framework, with decomposition into several subproblems and solution by a constrained ensemble Kalman filter algorithm. In the proposed methodology, a deep neural network-based state forecasting model is developed to imitate the complex temporal and spatial relationship between system states, avoiding the state transition model built by unfounded explicit formulations. Furthermore, smart meter data is integrated by deep regression learning to obtain power injections of consumers and address the system observability issue. Extensive comparisons with two alternatives are carried out on a sample 33-node hybrid AC/DC distribution system to show the effectiveness and benefits of the proposed FASE, and on a larger 106-node hybrid AC/DC distribution system to demonstrate scalability.","Forecasting-aided state estimation; Deep learning ensemble Kalman filter; Hybrid AC; DC distribution systems","","Huang, MY (Corresponding Author), Hohai Univ, Coll Energy & Elect Engn, Nanjing 210098, Peoples R China. Huang, Manyun; Wei, Zhinong, Hohai Univ, Coll Energy & Elect Engn, Nanjing 210098, Peoples R China. Lin, Yuzhang, Univ Mass Lowell, Elect & Comp Engn Dept, Lowell, MA 01854 USA.","English",""
"Journal Article","Torkura KA,Sukmana MI,Cheng F,Meinel C","","Continuous auditing and threat detection in multi-cloud infrastructure","COMPUTERS & SECURITY","2021","102","","","","ELSEVIER ADVANCED TECHNOLOGY","OXFORD FULFILLMENT CENTRE THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND","","2021-03","","","0167-4048","http://dx.doi.org/10.1016/j.cose.2020.102124","10.1016/j.cose.2020.102124","Efficient change control and configuration management is imperative for addressing the emerging security threats in cloud infrastructure. These threats majorly exploit misconfiguration vulnerabilities e.g. excessive permissions, disabled logging features and publicly accessible cloud storage buckets. Traditional security tools and mechanisms are unable to effectively and continuously track changes in cloud infrastructure owing to transience and unpredictability of cloud events. Therefore, novel tools that are proactive, agile and continuous are imperative. This article proposes CSBAuditor, a novel cloud security system that continuously monitors cloud infrastructure, to detect malicious activities and unauthorized changes. CSBAuditor leverages two concepts: state transition analysis and reconciler pattern to overcome the aforementioned security issues. Furthermore, security metrics are used to compute severity scores for detected vulnerabilities using a novel scoring system: Cloud Security Scoring System . CSBAuditor has been evaluated using various strategies including security chaos engineering (fault injection) strategies on Amazon Web Services and Google Cloud Platform. CSBAuditor effectively detects misconfigurations in real-time with a detection rate of over 98%. Also, the performance overhead is within acceptable limits. (c) 2020 Elsevier Ltd. All rights reserved.","Cloud-security; Cloud audit; Security metrics; Security risk assessment; Secure configuration; Cloud security posture management; Threat detection","","Torkura, KA (Corresponding Author), Univ Potsdam, Hasso Plattner Inst Digital Engn, Potsdam, Germany. Torkura, K. A.; Sukmana, Muhammad I. H.; Cheng, Feng; Meinel, Christoph, Univ Potsdam, Hasso Plattner Inst Digital Engn, Potsdam, Germany.","English",""
"Journal Article","Yu S,Xiaolin C,Rodriguez RJ,Zhenjiang Z,Trivedi KS","","Quantitative security analysis of a dynamic network system under lateral movement-based attacks","RELIABILITY ENGINEERING & SYSTEM SAFETY","2019","183","","213-225","","ELSEVIER SCI LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND","","2019-03","","","0951-8320","http://dx.doi.org/10.1016/j.ress.2018.11.022","10.1016/j.ress.2018.11.022","Malicious lateral movement-based attacks have become a potential risk for many systems, bringing highly likely threats to critical infrastructures and national security. When launching this kind of attacks, adversaries first compromise a fraction of the targeted system and then move laterally to the rest of the system until the whole system is infected. Various approaches were proposed to study and/or defend against lateral movement-based attacks. However, few of them studied transient behaviors of dynamic attacking and dynamic targeted systems. This paper aims to analyze the transient security of a dynamic network system under lateral movement-based attacks from the time that attack-related abnormity in the system is detected until mechanisms are designed and deployed to defend against attacks. We explore state-space modeling techniques to construct a survivability model for quantitative analysis. A phased piecewise constant approximation approach is also proposed to derive the formulas for calculating model state transient probabilities, with which we derive formulas for calculating metrics of interest. The proposed approach allows both model state transition rates and the number of model states to be time-varying during the system recovery. Numerical analysis is carried out for investigating the impact of various dynamic system parameters on system security.","Lateral movement-based attack; Dynamic transient analysis; Non-homogeneous continuous-time Markov chain; Piecewise constant approximation","","Chang, XL (Corresponding Author), Beijing Jiaotong Univ, Beijing Key Lab Secur & Privacy Intelligent Trans, Beijing, Peoples R China. Yu, Shi; Chang Xiaolin, Beijing Jiaotong Univ, Beijing Key Lab Secur & Privacy Intelligent Trans, Beijing, Peoples R China. Rodriguez, Ricardo J., Acad Gen Mil, Ctr Univ Def, Zaragoza, Spain. Zhang Zhenjiang, Beijing Jiaotong Univ, Sch Elect & Informat Engn, Beijing, Peoples R China. Trivedi, Kishor S., Duke Univ, Durham, NC 27708 USA.","English",""
"Journal Article","Tian XY,Liu YH,Wang J,Deng WW,Oh H","","Computational Security for Context-Awareness in Vehicular Ad-Hoc Networks","IEEE ACCESS","2016","4","","5268-5279","","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","","2016","","","2169-3536","http://dx.doi.org/10.1109/ACCESS.2016.2598155","10.1109/ACCESS.2016.2598155","Vehicular ad hoc networks can be viewed as a typical context-aware system where the experienced context frequently varies as vehicles move along road, e.g., signal-to-noise ratio (SNR), velocity, and traffic flow. In particular, the adopted security protection mechanisms often depend on the node state, location, and/or surrounding risk, which need the capability of context-aware security quantification. This paper views the security level as a user's inherent property that is only correlated with the user's behaviours and the situated context and independent of the suffered attack ways. We propose a formalized methodology to especially quantify the security level in real time from the perspective of state transition probability through estimating the stable probability of staying in the security state in inhomogeneous continuous time Markov chain. This paradigm enables users to customize the security protection mechanisms for adapting to the frequently varying context. We conduct the extensive numerical calculations and empirical analysis to comprehensively investigate the response of the proposed security quantification framework to the various combinations of the concerned parameters, e.g., SNR, velocity, and traffic flow. The results show that the proposed framework is capable of capturing the real-time security level adaptively to the vehicular context and provides a dependable decision basis to security protection, which can restrict the security to a target value.","Vehicular ad-hoc networks; security; Markov process","","Wang, J (Corresponding Author), Jilin Univ, Minist Educ, Key Lab Symbol Computat & Knowledge Engn, Coll Comp Sci & Technol, Changchun 130012, Peoples R China. Tian, X. Y.; Liu, Y. H.; Wang, J., Jilin Univ, Minist Educ, Key Lab Symbol Computat & Knowledge Engn, Coll Comp Sci & Technol, Changchun 130012, Peoples R China. Deng, W. W., Jilin Univ, State Key Lab Automot Simulat & Control, Changchun 130012, Peoples R China. Oh, H., Hanyang Univ, Dept Comp Sci & Engn, Ansan 426791, South Korea.","English",""
"Conference Paper","Bursuc S,Kremer S","Sako K,Schneider S,Ryan PYA","Contingent Payments on a Public Ledger: Models and Reductions for Automated Verification","","2019","11735","","361-382","Univ Autonoma Barcelona; Univ Oberta Catalunya, Internet Interdisciplinary Inst; UNESCO Chair Data Privacy; Telecom SudParis, Inst Mines Telecom; CNRS Samovar UMR 5157","SPRINGER INTERNATIONAL PUBLISHING AG","GEWERBESTRASSE 11, CHAM, CH-6330, SWITZERLAND","COMPUTER SECURITY - ESORICS 2019, PT I","2019","9783030299590","9783030299583","0302-9743","http://dx.doi.org/10.1007/978-3-030-29959-0_18","10.1007/978-3-030-29959-0_18","We study protocols that rely on a public ledger infrastructure, concentrating on protocols for zero-knowledge contingent payment, whose security properties combine diverse notions of fairness and privacy. We argue that rigorous models are required for capturing the ledger semantics, the protocol-ledger interaction, the cryptographic primitives and, ultimately, the security properties one would like to achieve. Our focus is on a particular level of abstraction, where network messages are represented by a term algebra, protocol execution by state transition systems (e.g. multiset rewrite rules) and where the properties of interest can be analyzed with automated verification tools.We propose models for: (1) the rules guiding the ledger execution, taking the coin functionality of public ledgers such as Bitcoin as an example; (2) the security properties expected from ledger-based zero-knowledge contingent payment protocols; (3) two different security protocols that aim at achieving these properties relying on different ledger infrastructures; (4) reductions that allow simpler term algebras for homomorphic cryptographic schemes. Altogether, these models allow us to derive a first automated verification for ledger-based zero-knowledge contingent payment using the Tamarin prover. Furthermore, our models help in clarifying certain underlying assumptions, security and efficiency tradeoffs that should be taken into account when deploying protocols on the blockchain.","","24th European Symposium on Research in Computer Security (ESORICS), Luxembourg, LUXEMBOURG, SEP 23-27, 2019","Bursuc, S (Corresponding Author), Inria Nancy Grand Est, Villers Les Nancy, France. Bursuc, Sergiu, Inria Nancy Grand Est, Villers Les Nancy, France. LORIA, Villers Les Nancy, France.","English","Lecture Notes in Computer Science"
"Journal Article","Guo Y,Wang Z,Luo S,Wang Y","","A cascading failure model for interdomain routing system","INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS","2012","25","8","1068-1076","","WILEY","111 RIVER ST, HOBOKEN 07030-5774, NJ USA","","2012-08","","","1074-5351","http://dx.doi.org/10.1002/dac.1307","10.1002/dac.1307","There have been many researches on border gateway protocol (BGP) security, most of which mainly focused on how to enhance the security of the BGP protocol or the interdomain routing system. However, few works studied the vulnerabilities especially the production mechanism of security events in the interdomain routing system. It takes many obstacles to understand and improve the security of the interdomain routing system. This paper explores the cascading failure phenomenon of the interdomain routing system. First, we devise a state machine to describe the state transition of BGP nodes and then give a detailed analysis of the BGP failure. Second, on the basis of the preferential attachment characteristic, we propose a cascading failure model for the interdomain routing system, which depicts the production mechanism of cascading failure, and introduce two evaluating indicators, the proportion of failed nodes and the proportion of failed links, to assess the scale of cascading failure. Furthermore, we apply the cascading failure model to display two different cascading failure scenes. The experimental results show that random failure has less influence on the interdomain routing system, while its robustness against hostile attack is weak. Copyright (c) 2011 John Wiley & Sons, Ltd.","interdomain routing system; cascading failure; degree of node; workload redistribution; preferential attachment","","Guo, Y (Corresponding Author), Natl Digital Switching Syst Engn & Technol Res Ct, Zhengzhou, Peoples R China. Guo, Yi; Wang, Zhenxing; Wang, Yu, Natl Digital Switching Syst Engn & Technol Res Ct, Zhengzhou, Peoples R China. Luo, Shaopeng, Wuhan Mech Technol Coll, Wuhan, Peoples R China.","English",""
"Conference Paper","He J,Liang Y,Xu L,Yan S","","Stabilizing Control for Cyber-Physical Systems against Energy-Constrained Deception Attacks","","2019","","","","Northwestern Polytechn Univ, 111 Base Radar Cognit Detect Imaging & Target Recognit; IEEE; Sensors; Frontiers of Informat Technol & Elect Engn; Journal Radars","IEEE","345 E 47TH ST, NEW YORK, NY 10017 USA","ICCAIS 2019: THE 8TH INTERNATIONAL CONFERENCE ON CONTROL, AUTOMATION AND INFORMATION SCIENCES","2019","9781728123110","","2475-7896","","","Stabilizing control of cyber-physical systems (CPSs) is an important yet challenging problem since system modelling may face the coexistence of multiple uncertainties including unknown disturbances, unknown bounded delays, stochastic malicious attack and stochastic mode switching in complex environment, which cause system performance to deteriorate or even be unstable. However, the above uncertainties are rarely considered simultaneously in existing study. To this end, a novel system model is proposed to reflect not only the nonlinear characteristics, external disturbances and time-varying delays, but also the randomly occurring deception attacks, which is energy-constrained and lead to the system mode switching. We aim at designing a controller such that the system achieve the prescribed Ho., disturbance rejection level. By constructing an appropriate Lyapunov-Krasovskii functional (LKF) and using the stochastic analysis techniques, the addressed controller design problem is transformed to an convex optimization problem, which can be solved by a linear matrix inequality (LMI) approach. An example is given to show the effectiveness of the designed controller.","Cyber-physical systems; stochastic deception attacks; stabilizing control; time-varying delays; linear matrix inequality","8th International Conference on Control, Automation and Information Sciences (ICCAIS), Univ Elect Sci & Technol China, Chengdu, PEOPLES R CHINA, OCT 23-26, 2019","He, J (Corresponding Author), Northwestern Polytech Univ, Sch Automat, Xian, Peoples R China. He, Jing, Northwestern Polytech Univ, Sch Automat, Xian, Peoples R China. Minist Educ, Key Lab Informat Fus Technol, Xian, Peoples R China.","English","International Conference on Control Automation and Information Sciences"
"Conference Paper","Kibria R,Farzana N,Farahmandi F,Tehranipoor M","","FSMx: Finite State Machine Extraction from Flattened Netlist With Application to Security","","2022","","","","IEEE; IEEE Comp Soc; IEEE Philadelphia Sect; IEEE Comp Soc Test Technol Tech Council","IEEE","345 E 47TH ST, NEW YORK, NY 10017 USA","2022 IEEE 40TH VLSI TEST SYMPOSIUM (VTS)","2022","9781665410601","","1093-0167","http://dx.doi.org/10.1109/VTS52500.2021.9794151","10.1109/VTS52500.2021.9794151","A number of security vulnerability assessments require accurate and fast extraction of the finite state machines (FSMs) in the circuit. FSM should be accurately extracted for watermark insertion, FSM-based logic locking, fault injection assessment of control paths in a system-on-chip (SoC), information leakage assessment, and reverse engineering at gate-level. Unfortunately, as of today, there are no good solutions available that can provide very fast and accurate extraction of FSMs from the flattened netlist to perform effective security assessment. The difficulty of developing such a solution lies in precisely identifying FSM state flip-flops present in a netlist that contains numerous circuit flip-flops. In this paper, we propose to develop a framework called FSMx to extract FSMs from highly unstructured synthesized designs. FSMx utilizes graph theory to identify FSM state registers from other registers. FSMx automatically extracts gate-level state transition graphs (STGs) for each of the detected FSM state registers. Experimental results demonstrate that FSMx efficiently recovers FSMs from synthesized netlists with various complexity and size in less than 7 minutes in the worst case of NIST AES 128-bit design with 12,976 gates on a personal desktop.","FSM Extraction; Flattened Gate-Level Netlist Analysis; Security Validation; FSM Automata Theory","40th IEEE VLSI Test Symposium (VTS), ELECTR NETWORK, APR 25-27, 2022","Kibria, R (Corresponding Author), Univ Florida, Dept Elect & Comp Engn, Gainesville, FL 32611 USA. Kibria, Rasheed; Farzana, Nusrat; Farahmandi, Farimah; Tehranipoor, Mark, Univ Florida, Dept Elect & Comp Engn, Gainesville, FL 32611 USA.","English","IEEE VLSI Test Symposium"
"Journal Article","Meng F,Umair MM,Zhang S,Meng Y,Tang B","","Facile fabrication of encryption composite materials with trilayer quasi-amorphous heterostructure","SCIENCE CHINA-MATERIALS","2021","64","4","909-919","","SCIENCE PRESS","16 DONGHUANGCHENGGEN NORTH ST, BEIJING 100717, PEOPLES R CHINA","","2021-04","","","2095-8226","http://dx.doi.org/10.1007/s40843-020-1500-9","10.1007/s40843-020-1500-9","Encryption materials represent a major direction of information security, but it is challenging to realize the ideal security combining the complete hiding of complex coding, stability in transmission, camouflage, and reliable decoding. Herein, we report an innovative strategy for rationally constructing encryption composite materials with high security and portability. Compared with common colloidal photonic watermarks, our encrypted optical devices are composed of thermoplastic polyurethanes (TPU) protective layers, polystyrene (PS) switching layers and a CdS coding layer. The optical shielding properties and phase state transition of PS layers enable high-level encoding and decoding security through thermal activation of light transmittance control. Meanwhile, the CdS layer can be clearly revealed in decoding mode because of the high refractive index. Besides, the confinement protection of integrated TPU films prevents the trilayer quasi-amorphous heterostructure from damage. To establish the practical advantage, portable information carriers can be prepared for camouflage. Accordingly, the reliable encoding and decoding system, and ability to integrate with easy-to-carry products, make our composites a potentially high-security encryption device for anti-fraud technology.","quasi-amorphous structures; structural color; encryption","","Tang, BT (Corresponding Author), Dalian Univ Technol, State Key Lab Fine Chem, Dalian 116024, Peoples R China. Tang, BT (Corresponding Author), Qingdao Univ Sci & Technol, Ecochem Engn Cooperat Innovat Ctr Shandong, Qingdao 266042, Peoples R China. Meng, Fantao; Umair, Malik Muhammad; Zhang, Shufen; Tang, Bingtao, Dalian Univ Technol, State Key Lab Fine Chem, Dalian 116024, Peoples R China. Meng, Yao; Tang, Bingtao, Qingdao Univ Sci & Technol, Ecochem Engn Cooperat Innovat Ctr Shandong, Qingdao 266042, Peoples R China.","English",""
"Journal Article","Long P,Chevallereau C,Chablat D,Girin A","","An industrial security system for human-robot coexistence","INDUSTRIAL ROBOT-THE INTERNATIONAL JOURNAL OF ROBOTICS RESEARCH AND APPLICATION","2018","45","2","220-226","","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND","","2018","","","0143-991X","http://dx.doi.org/10.1108/IR-09-2017-0165","10.1108/IR-09-2017-0165","Purpose - The installation of industrial robots requires security barriers, a costly, time-consuming exercise. Collaborative robots may offer a solution; however, these systems only comply with safety standards if operating at reduced speeds. The purpose of this paper is to describe the development and implementation of a novel security system that allows human-robot coexistence while permitting the robot to execute much of its task at nominal speed. Design/methodology/approach - The security system is defined by three modes: a nominal mode, a coexistence mode and a gravity compensation mode. Mode transition is triggered by three lasers, two of which are mechanically linked to the robot. These scanners create a dynamic envelope around the robot and allow the detection of operator presence or environmental changes. To avoid velocity discontinuities between transitions, the authors propose a novel time scaling method. Findings - The paper describes the system's mechanical, software and control architecture. The system is demonstrated experimentally on a collaborative robot and is compared with the performance of a state-of-art security system. Both a qualitative and quantitative analysis of the new system is carried out. Practical implications - The mode transition method is easily implemented, requires little computing power and leaves the trajectories unchanged. As velocity discontinuities are avoided, motor wear is reduced. The execution time is substantially less than a commercial alternative. These advantages can lead to economic benefits in high-volume manufacturing environments. Originality/value - This paper proposes a novel system that is based on industrial material but can generate dynamic safety zones for a collaborative robot.","Robotics; Safety; Flexible manufacturing; Human-robot interaction; Collaborative robots","","Long, P (Corresponding Author), Northeastern Univ, Dept Elect & Comp Engn, Boston, MA 02115 USA. Long, Philip, Northeastern Univ, Dept Elect & Comp Engn, Boston, MA 02115 USA. Chevallereau, Christine; Chablat, Damien, CNRS, Lab Sci Numer Nantes, Nantes, France. Girin, Alexis, Inst Rech Technol Jules Verne, Dept Robot & Cobot, Bouguenais, France.","English",""
"Journal Article","Yu W,Song S,Li Y,Min Y,Huang W,Wen K,Gong J","","Gas supply reliability assessment of natural gas transmission pipeline systems","ENERGY","2018","162","","853-870","","PERGAMON-ELSEVIER SCIENCE LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND","","2018-11-01","","","0360-5442","http://dx.doi.org/10.1016/j.energy.2018.08.039","10.1016/j.energy.2018.08.039","The uncertainty of market demand and dynamic behaviour of the pipeline system are usually ignored in previous gas supply reliability assessments. With the intent of overcoming these deficiencies, a novel methodology to assess the gas supply reliability of natural gas transmission pipeline systems is proposed in this paper. Considering both gas supply capacity and market demand uncertainties, calculations of these two items are integrated into a single Monte Carlo simulation, On each Monte Carlo trial, the hydraulic analysis of unsteady flow is combined with the state transition process simulation to calculate the gas supply capacity. In terms of market demand, the load duration curve technology is employed to predict the amount of demand. Then, the indicator proposed to quantify gas supply reliability is calculated on each trial. Finally, the average gas supply reliability is obtained based on N Monte Carlo trials. Applications of this methodology are demonstrated through a real transmission pipeline system. Thereafter, the method is compared with previous approaches and differences are discussed. Furthermore, the impacts of supply capacity and market demand uncertainties on the gas supply reliability are investigated and suggestions to improve the gas supply reliability are proposed. (C) 2018 Elsevier Ltd. All rights reserved.","Gas supply reliability; Natural gas transmission pipeline system; Gas supply capacity; Market demand; Load duration alive technology","","Gong, J (Corresponding Author), China Univ Petr, Natl Engn Lab Pipeline Safety, Beijing 102249, Peoples R China. Yu, Weichao; Song, Shangfei; Li, Yichen; Min, Yuan; Wen, Kai; Gong, Jing, China Univ Petr, Natl Engn Lab Pipeline Safety, Beijing 102249, Peoples R China. Wen, Kai, Xi An Jiao Tong Univ, State Key Lab Mfg Syst Engn, Xian 710049, Shaanxi, Peoples R China. Huang, Weihe, China Natl Petr Corp, Beijing 100007, Peoples R China.","English",""
"Conference Paper","Li K,Feng H,Li Y,Zhang Z","","An improved method of access control based on BLP model In MILS","","2014","","","588-592","Guangdong U Technol; Xidian U; Shenzhen U; Beijing Normal U; Aviation Key Lab Sci Technol Airborne Missileborne Comp; IEEE CPS","IEEE","345 E 47TH ST, NEW YORK, NY 10017 USA","2014 TENTH INTERNATIONAL CONFERENCE ON COMPUTATIONAL INTELLIGENCE AND SECURITY (CIS)","2014","9781479974344","","","http://dx.doi.org/10.1109/CIS.2014.39","10.1109/CIS.2014.39","MILS (Multiple Independent Levels of Security) is a high-assurance architecture that protect different security levels information sharing. In order to provide guarantee for a variety of information sharing security, MILS allow software components that have multiple security levels or multiple data domain to run on a single processor. But in specific applications, in order to achieve multiple information interaction and sharing between partitions, the problem of which illegal authorization, unauthorized access and malicious disclosure of sensitive information between different levels of applications will be introduced. From the point of information flow control, the paper put forward a model and method of information flow security control strictly between MILS partitions based on trusted computing. We designed a model based on BLP and access control model of state transition strategy, the policies break the traditional BLP model rules ``read down, write up'', which meet the needs of the security level for subjects and objects according to the changes of task requirements in MILS. After analyzing, the model can efficaciously protect confidentiality and integrity of the sensitive information, and improve the dependability of the whole system.","information flow control; security policy; BLP; MILS","10th International Conference on Computational Intelligence and Security CIS 2014, Kunming U Sci Technol, Kunming, PEOPLES R CHINA, NOV 15-16, 2014","Li, KQ (Corresponding Author), Xidian Univ, Sch Comp Sci & Technol, Xian, Peoples R China. Li, Kaiqiang; Zhang, Zhiwei, Xidian Univ, Sch Comp Sci & Technol, Xian, Peoples R China. Feng, Hao, Sanmenxia Power Supply Co, Sanmenxia 472000, Peoples R China. Li, Yahui, Aeronaut Comp Tech Res Inst, Xian 710068, Shaanxi, Peoples R China.","English",""
"Journal Article","Bugliesi M,Calzavara S,Modersheim S,Modesti P","","Security protocol specification and verification with AnBx","JOURNAL OF INFORMATION SECURITY AND APPLICATIONS","2016","30","","46-63","","ELSEVIER","RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS","","2016-10","","","2214-2126","http://dx.doi.org/10.1016/j.jisa.2016.05.004","10.1016/j.jisa.2016.05.004","Designing distributed protocols is complex and requires actions at very different levels: from the design of an interaction flow supporting the desired application-specific guarantees to the selection of the most appropriate network-level protection mechanisms. To tame this complexity, we propose AnBx, a formal protocol specification language based on the popular Alice & Bob notation. AnBx offers channels as the main abstraction for communication, providing different authenticity and/or confidentiality guarantees for message transmission. AnBx extends existing proposals in the literature with a novel notion of forwarding channels, enforcing specific security guarantees from the message originator to the final recipient along a number of intermediate forwarding agents. We give a formal semantics of AnBx in terms of a state transition system expressed in the AVISPA Intermediate Format. We devise an ideal channel model and a possible cryptographic implementation, and we show that, under mild restrictions, the two representations coincide, thus making AnBx amenable to automated verification with different tools. We demonstrate the benefits of the declarative specification style distinctive of AnBx by revisiting the design of two existing e-payment protocols: iKP and SET. (C) 2016 Elsevier Ltd. All rights reserved.","Protocol specification; Protocol verification; Model-checking; e-payment","","Modesti, P (Corresponding Author), Univ Sunderland, Dept Comp Engn & Technol, St Peters Way, Sunderland SR6 0DD, Tyne & Wear, England. Bugliesi, Michele; Calzavara, Stefano, Univ Ca Foscari Venezia, Dipartimento Sci Ambientali Informat & Stat, Venice, Italy. Modersheim, Sebastian, Danmarks Tekniske Univ, DTU Compute, Lyngby, Denmark. Modesti, Paolo, Newcastle Univ, Sch Comp Sci, Newcastle Upon Tyne, Tyne & Wear, England.","English",""
"Journal Article","Kondakci S","","Analysis of information security reliability: A tutorial","RELIABILITY ENGINEERING & SYSTEM SAFETY","2015","133","","275-299","","ELSEVIER SCI LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND","","2015-01","","","0951-8320","http://dx.doi.org/10.1016/j.ress.2014.09.021","10.1016/j.ress.2014.09.021","This article presents a concise reliability analysis of network security abstracted from stochastic modeling, reliability, and queuing theories. Network security analysis is composed of threats, their impacts, and recovery of the failed systems. A unique framework with a collection of the key reliability models is presented here to guide the determination of the system reliability based on the strength of malicious acts and performance of the recovery processes. A unique model, called Attack-obstacle model, is also proposed here for analyzing systems with immunity growth features. Most computer science curricula do not contain courses in reliability modeling applicable to different areas of computer engineering. Hence, the topic of reliability analysis is often too diffuse to most computer engineers and researchers dealing with network security. This work is thus aimed at shedding some light on this issue, which can be useful in identifying models, their assumptions and practical parameters for estimating the reliability of threatened systems and for assessing the performance of recovery facilities. It can also be useful for the classification of processes and states regarding the reliability of information systems. Systems with stochastic behaviors undergoing queue operations and random state transitions can also benefit from the approaches presented here. (C) 2014 Elsevier Ltd. All rights reserved.","Availability modeling; Reliability; Security; Risk assessment","","Kondakci, S (Corresponding Author), Izmir Univ Econ, Fac Engn & Comp Sci, Sakarya Cad 156, TR-35330 Izmir, Turkey. Izmir Univ Econ, Fac Engn & Comp Sci, TR-35330 Izmir, Turkey.","English",""
"Journal Article","Arslan G,Yuksel S","","Decentralized Q-Learning for Stochastic Teams and Games","IEEE TRANSACTIONS ON AUTOMATIC CONTROL","2017","62","4","1545-1558","","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","","2017-04","","","0018-9286","http://dx.doi.org/10.1109/TAC.2016.2598476","10.1109/TAC.2016.2598476","There are only a few learning algorithms applicable to stochastic dynamic teams and games which generalize Markov decision processes to decentralized stochastic control problems involving possibly self-interested decision makers. Learning in games is generally difficult because of the non-stationary environment in which each decision maker aims to learn its optimal decisions with minimal information in the presence of the other decision makers who are also learning. In stochastic dynamic games, learning is more challenging because, while learning, the decision makers alter the state of the system and hence the future cost. In this paper, we present decentralized Q-learning algorithms for stochastic games, and study their convergence for the weakly acyclic case which includes team problems as an important special case. The algorithms are decentralized in that each decision maker has access only to its own decisions and cost realizations as well as the state transitions; in particular, each decision maker is completely oblivious to the presence of the other decision makers. We show that these algorithms converge to equilibrium policies almost surely in large classes of stochastic games.","Decentralized control; learning in games; stochastic dynamic teams; stochastic games","","Arslan, G (Corresponding Author), Univ Hawaii Manoa, Dept Elect Engn, 440 Holmes Hall,2540 Dole St, Honolulu, HI 96822 USA. Arslan, Gurdal, Univ Hawaii Manoa, Dept Elect Engn, 440 Holmes Hall,2540 Dole St, Honolulu, HI 96822 USA. Yuksel, Serdar, Queens Univ, Dept Math & Stat, Kingston, ON K7L 3N6, Canada.","English",""
