id_title,relevant?,title,Clickable Link,authors,doi,link,pub_year,type,abstract,source,pub_title,id
25,y,Analysis of a Virtualization-based Recovery Approach for Intrusion Tolerance Systems,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6835543,J. Huang; Q. Ai,10.1109/CSA.2013.17,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6835543,20130.0,IEEE Conferences,"Recovery is a promising approach for building intrusion tolerant systems that remove or minimize the effects of malicious attacks. In this paper, a Virtualization-based Recovery approach for Intrusion Tolerance systems (VRIT) is proposed. We present the architecture of the VRIT, construct the state transition model of the VRIT, and analyze quantitatively the security of the VRIT system. We characterize the intrusion tolerance provided by the system through several measures defined on the model. Finally we have some simulation experiments to evaluate both the availability and the mean time to security failure for the VRIT system.",IEEE Xplore,2013 International Conference on Computer Sciences and Applications,11
26,y,Privacy-mode switching: Toward flexible privacy protection for RFID tags in Internet of Things,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6940531,Y. Li; T. Nakasone; K. Ohta; K. Sakiyama,10.1109/CCNC.2014.6940531,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6940531,20140.0,IEEE Conferences,"The privacy problem becomes the biggest obstacle when applying the RFID technology to personal customers usage in Internet of Things. Privacy protection is in the cost of computational overhead and feasibility loss, and necessary for privacy-sensitive usages. We propose a RFID system in which the privacy protection can be turned on or off by validate authorities. The privacy-mode switching increases diversity of RFID usage, enables RFID recycles, and has limited hardware overhead for RFID tags. Based on a symmetric-key crypto-based mutual authentication protocol called OMHSO, we describe a construction of a RFID system with flexible privacy-mode switching.",IEEE Xplore,2014 IEEE 11th Consumer Communications and Networking Conference (CCNC),12
27,y,A Software-Defined Security Strategy for Supporting Autonomic Security Enforcement in Distributed Cloud,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7830720,M. Compastié; R. Badonnel; O. Festor; R. He; M. Kassi-Lahlou,10.1109/CloudCom.2016.0079,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7830720,20160.0,IEEE Conferences,"We propose in this paper a software-defined security framework, for supporting the enforcement of security policies in distributed cloud environments. These ones require security mechanisms able to cape with their multi-tenancy and multi-cloud properties. This framework relies on the autonomic paradigm to dynamically configure and adjust these mechanisms to distributed cloud constraints, and exploit the software-defined logic to express and propagate security policies to the considered cloud resources. The proposed framework is evaluated through a set of validation scenarios corresponding to a realistic use cases including cloud resource allocation/deallocation, cloud resource state change, and dynamic access control.",IEEE Xplore,2016 IEEE International Conference on Cloud Computing Technology and Science (CloudCom),13
28,y,Penetration state transition analysis: A rule-based intrusion detection approach,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=228217,P. A. Porras; R. A. Kemmerer,10.1109/CSAC.1992.228217,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=228217,19920.0,IEEE Conferences,"A new approach to representing computer penetrations is introduced called penetration state transition analysis. This approach models penetrations as a series of state transitions described in terms of signature actions and state descriptions. State transition diagrams are written to correspond to the states of an actual computer system, and these diagrams form the basis of a rule-based expert system for detecting penetrations, referred to as STAT.<>",IEEE Xplore,[1992] Proceedings Eighth Annual Computer Security Application Conference,14
32,y,Characterizing intrusion tolerant systems using a state transition model,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=932173,K. Goseva-Popstojanova; Feiyi Wang; Rong Wang; Fengmin Gong; K. Vaidyanathan; K. Trivedi; B. Muthusamy,10.1109/DISCEX.2001.932173,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=932173,20010.0,IEEE Conferences,"Intrusion detection and response research has so far mostly concentrated on known and well-defined attacks. We believe that this narrow focus of attacks accounts for both the successes and limitation of commercial intrusion detection systems (IDS). Intrusion tolerance, on the other hand, is inherently tied to functions and services that require protection. This paper presents a state transition model to describe the dynamic behavior of intrusion-tolerant systems. This model provides a framework from which we can define the vulnerability and the threat set to be addressed. We also show how this model helps us to describe both known and unknown security exploits by focusing on impacts rather than specific attack procedures. By going through the exercise of mapping known vulnerabilities to this transition model, we identify a reasonably complete fault space that should be considered in a general intrusion-tolerant system.",IEEE Xplore,Proceedings DARPA Information Survivability Conference and Exposition II. DISCEX'01,15
34,y,A formal security model for microprocessor hardware,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=879809,V. Lotz; V. Kessler; G. H. Walter,10.1109/32.879809,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=879809,20000.0,IEEE Journals,"The paper introduces a formal security model for a microprocessor hardware system. The model has been developed as part of the evaluation process of the processor product according to ITSEC assurance level E4. Novel aspects of the model are the need for defining integrity and confidentiality objectives on the hardware level without the operating system or application specification and security policy being given, and the utilization of an abstract function and data space. The security model consists of a system model given as a state transition automaton on infinite structures and the formalization of security objectives by means of properties of automaton behaviors. Validity of the security properties is proved. The paper compares the model with published ones and summarizes the lessons learned throughout the modeling process.",IEEE Xplore,IEEE Transactions on Software Engineering,16
36,y,ATM security with firewalls,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=860637,C. Simon; A. Torok,10.1109/ISCC.2000.860637,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=860637,20000.0,IEEE Conferences,"In current ATM networks the security issues are gaining a broad attention. For a higher customer satisfaction the service providers must guarantee the security of the user data. Unlike the existing proposals, the method proposed here realizes both the security and integrity services in the ATM layer, so it allows a data integrity check in the intermediate network components, too. All the information needed for data integrity is carried in special ATM cells, inserted in the user data flow. At the same time, these special cells make the renegotiation of security service parameters possible. Our model was validated through simulations.",IEEE Xplore,Proceedings ISCC 2000. Fifth IEEE Symposium on Computers and Communications,17
37,y,Algorithmic Analysis of the System Based on the Functioning Table and Information Security,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9795746,A. Kabulov; I. Yarashov; A. Otakhonov,10.1109/IEMTRONICS55184.2022.9795746,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9795746,20220.0,IEEE Conferences,"Systems are ideally and rapidly evolving with the development of the Internet and modern web technologies. Example, Ecological monitoring information system has become very important in determining its superiority as a system, so it should be tested. This article describes how to benchmark a system by creating a state change graph to simulate different intuitions on the part of each subsystem, and then comparing the graph to Petri net modeling based on Functioning table (PNMFT). Test cases can be prepared based on the accessibility of trees based on comparable PNMFTs. The existing fact-testing strategy for comprehensive testing of the system will be further generalized to improve the consistent quality of the remaining tests. After that, talk about algorithmic analysis of the system is an important for information security issue. The initial stage of ongoing research to improve the reliability of algorithmic analysis of algorithmic formalization of web systems is described. It may also be advisable to include a set of dynamic coverage criteria for web systems defined for the statistical testing approach used through algorithmic analysis to improve testing quality and algorithmic formalization of the web system through algorithmic analysis.",IEEE Xplore,"2022 IEEE International IOT, Electronics and Mechatronics Conference (IEMTRONICS)",18
38,y,Public Cultural Services Recommendation System Architecture,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8004350,S. Ye; Y. Yang; W. Huang; J. Wang; G. Zhang,10.1109/QRS-C.2017.73,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8004350,20170.0,IEEE Conferences,"Public cultural sharing service plays an important role in the public cultural platform. The recommender systems can bring users useful cultural resources and information. For safety and security reasons of the cultural resources, the external applications are not allowed to directly access the original resource data stored in the cultural databases by sending recommendation requests. The cultural recommender system needs a way to isolate the cultural resources from the outside while keeping the recommendation services. To address this issue, this paper proposes Representational State Transfer (REST)-based architecture of the cultural recommender system that can provide loosely coupled structures for system modules while maintaining the security access of the cultural resources.",IEEE Xplore,"2017 IEEE International Conference on Software Quality, Reliability and Security Companion (QRS-C)",19
41,y,Rapid Security Situation Prediction of Smart Grid Based on Markov Chain,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8729202,J. Gao; H. Bai; D. Wang; L. Wang; C. Huo; Y. Hou,10.1109/ITNEC.2019.8729202,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8729202,20190.0,IEEE Conferences,"Based on Markov chain analysis method, the situation prediction of smart grid security and stability can be judged in this paper. First component state transition probability matrix and component state prediction were defined. A fast derivation method of Markov state transition probability matrix using in system state prediction was proposed. The Matlab program using this method was compiled to analyze and obtain the future state probability distribution of grid system. As a comparison the system state distribution was simulated based on sequential Monte Carlo method, which was in good agreement with the state transition matrix, and the validity of the method was verified. Furthermore, the situation prediction of the six-node example was analyzed, which provided an effective prediction and analysis tool for the security situation.",IEEE Xplore,"2019 IEEE 3rd Information Technology, Networking, Electronic and Automation Control Conference (ITNEC)",20
42,y,Probabilistic approach for Intrusion Detection System - FOMC technique,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7229705,A. S. Aneetha; S. Bose,10.1109/ICoAC.2014.7229705,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7229705,20140.0,IEEE Conferences,"Detection of unexpected and emerging new threats has become a necessity for secured internet communication with absolute data confidentiality, integrity, and availability. Design and development of such a detection system shall not only be new, accurate and fast but also effective in a dynamic environment encompassing the surrounding network. In this work, an attempt is made to design an intrusion detection model based on the probabilistic approach, first-order Markov chain process, to effectively detection and predict network intrusions. As a first step, the states are defined using clustering techniques for the network traffic profiles; secondly state transition probability matrix and initial probability distribution are determined based on the states defined. Based on the network states, the probability of event occurrence is stochastically measured if the value is lesser than the predefined probability then it event is predicted as anomaly. The proposed probabilistic model performance is evaluated through experiments using KDD Cup99 dataset. The proposed models achieve better detection rate while the attacks are detected in levels of stages.",IEEE Xplore,2014 Sixth International Conference on Advanced Computing (ICoAC),21
43,y,Real-time risk assessment based on hidden Markov model and security configuration,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6946191,D. Yu-Ting; Q. Hai-Peng; T. Xi-Long,10.1109/InfoSEEE.2014.6946191,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6946191,20140.0,IEEE Conferences,"Most of the existing risk assessment methods are generally limited to external factors and ignore internal factors. Here we introduce a real-time method to network risk assessment that takes both external and internal factors into consideration. First, we apply intrusion detection system and configuration verification system to detect external and internal threats respectively. Then, to speculate system changes, a matrix that combines external and internal threats is added to hidden Markov models. Finally, new state transition probability matrices are automatically generated based on the changes, which remedies the deficiency of static transition matrix in the original models. Experimental results show that the improved algorithm can improve the accuracy and reliability of assessment results.",IEEE Xplore,"2014 International Conference on Information Science, Electronics and Electrical Engineering",22
44,y,A cloud-assisted malware detection and suppression framework for wireless multimedia system in IoT based on dynamic differential game,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8300282,W. Zhou; B. Yu,10.1109/CC.2018.8300282,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8300282,20180.0,IEEE Magazines,"As a novel dynamic network service infrastructure, Internet of Things (IoT) has gained remarkable popularity with obvious superiorities in the interoperability and real-time communication. Despite of the convenience in collecting information to provide the decision basis for the users, the vulnerability of embedded sensor nodes in multimedia devices makes the malware propagation a growing serious problem, which would harm the security of devices and their users financially and physically in wireless multimedia system (WMS). Therefore, many researches related to the malware propagation and suppression have been proposed to protect the topology and system security of wireless multimedia network. In these studies, the epidemic model is of great significance to the analysis of malware propagation. Considering the cloud and state transition of sensor nodes, a cloud-assisted model for malware detection and the dynamic differential game against malware propagation are proposed in this paper. Firstly, a SVM based malware detection model is constructed with the data sharing at the security platform in the cloud. Then the number of malware-infected nodes with physical infectivity to susceptible nodes is calculated precisely based on the attributes of WMS transmission. Then the state transition among WMS devices is defined by the modified epidemic model. Furthermore, a dynamic differential game and target cost function are successively derived for the Nash equilibrium between malware and WMS system. On this basis, a saddle-point malware detection and suppression algorithm is presented depending on the modified epidemic model and the computation of optimal strategies. Numerical results and comparisons show that the proposed algorithm can increase the utility of WMS efficiently and effectively.",IEEE Xplore,China Communications,23
45,y,Software defined network: Future of networking,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8399028,A. Prajapati; A. Sakadasariya; J. Patel,10.1109/ICISC.2018.8399028,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8399028,20180.0,IEEE Conferences,"The digital world we live in has been lead by the evolution of Internet, which has created revolution. Today almost everything is connected and accessible from anywhere, everywhere. Unfortunately, the traditional IP network system is still complex, not easily manageable and difficult to reconfigure in case of any change or fault. Software Defined Networking (SDN) is an emerging paradigm separates the network's control logic from the underlying routers and switches, promoting logical centralization of network control and introducing the ability to program the network. It has become the focus in the current information and communication technology area because of its flexibility and programmability. SDN abstracts low-level network functionalities to simplify network management. The OpenFlow protocol implements the SDN concept by abstracting network elements. It offers flexible and scalable functionality for network by decoupling the network control from forwarding devices. SDN uses a REST API (Representational State Transfer) for communication between controller and another application.",IEEE Xplore,2018 2nd International Conference on Inventive Systems and Control (ICISC),24
48,y,Security against hardware Trojan through a novel application of design obfuscation,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5361306,R. S. Chakraborty; S. Bhunia,10.1145/1687399.1687424,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5361306,20090.0,IEEE Conferences,"Malicious hardware Trojan circuitry inserted in safety-critical applications is a major threat to national security. In this work, we propose a novel application of a key-based obfuscation technique to achieve security against hardware Trojans. The obfuscation scheme is based on modifying the state transition function of a given circuit by expanding its reachable state space and enabling it to operate in two distinct modes - the normal mode and the obfuscated mode. Such a modification obfuscates the rareness of the internal circuit nodes, thus making it difficult for an adversary to insert hard-to-detect Trojans. It also makes some inserted Trojans benign by making them activate only in the obfuscated mode. The combined effect leads to higher Trojan detectability and higher level of protection against such attack. Simulation results for a set of benchmark circuits show that the scheme is capable of achieving high levels of security at modest design overhead.",IEEE Xplore,2009 IEEE/ACM International Conference on Computer-Aided Design - Digest of Technical Papers,25
49,y,Incorporating quality requirements in software migration process,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1372147,Ying Zou,10.1109/STEP.2003.15,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1372147,20030.0,IEEE Conferences,"The reengineering of legacy software systems to modern object oriented platforms has received significant attention over the past few years. However, most often the reengineering process ignores to take into account specific non-functional requirements, such as maintainability, for the target system. In this paper, we propose a quality driven software migration framework that aims to identify and extract an object model from a procedural system and to generate quality migrant object oriented code which satisfies non-functional requirements. Such a reengineering framework is composed of quality models to denote desired quality characteristics for the target migrant systems, transformation rules and, an incremental and iterative quality-driven transformation process that is based on a state transition system. The process aims to identify a sequence of software transformations that generate a target system with desired quality characteristics. Moreover, an evaluation technique is presented to verify and validate the achievement of quality requirements in the obtained migrated system. The result obtained from case studies demonstrates the effectiveness and usefulness of the proposed quality driven migration technique.",IEEE Xplore,Eleventh Annual International Workshop on Software Technology and Engineering Practice,26
50,y,A Network Security Dynamic Situation Forecasting Method,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5231537,L. Juan; L. Tao; L. Gang,10.1109/IFITA.2009.42,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5231537,20090.0,IEEE Conferences,"This paper proposes a network security dynamic situation forecasting method (Unbiased Gray Markov Forecasting Method: UGM_HM), which based on the Unbiased Grey system theory and Markov Forecasting theory. UGM_HM combines advantages of Unbiased Grey system theory and Markov Forecasting theory. UGM_HM takes the complex network environment as a Grey system and takes the dynamic risk value of network as a Grey value. The long-term network security situation is reflected by the Unbiased GM (1, 1) and the state transition probabilities are identified by Markov chain theory. The above mentioned dynamic risk value of network, which based on the artificial immune can reflect the network real-time state. The conclusions of experiment prove that UGM_HM compares with Unbiased GM (1, 1) has high precision in the forecasting of the network security dynamic situation.",IEEE Xplore,2009 International Forum on Information Technology and Applications,27
52,y,State space approach to security quantification,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1508089,C. Griffin; B. Madan; T. Trivedi,10.1109/COMPSAC.2005.145,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1508089,20050.0,IEEE Conferences,"In this paper, we describe three different state space models for analyzing the security of a software system. In the first part of this paper, we utilize a semi-Markov process (SMP) to model the transitions between the security states of an abstract software system. The SMP model can be solved to obtain the probability of reaching security failed states along with the meantime to security failure (MTTSF). In the second part of the paper, we use a discrete event dynamic system model of security dynamics. We show how to derive events and transitions from existing security taxonomies. We then apply theory of discrete event control to define safety properties of the computer system in terms of the basic concepts of controllability used in discrete event control for two special sublanguages K/sub s/ and K/sub v/. These languages correspond to maximally robust controllable sub-languages. In the third approach, we show that by associating cost with the state transitions, the security quantification problem can be casted as Markov decision problem (MDP). This MOP can be solved to obtain an optimal controllable language K/sub s//spl sube/K/sub v/ the gives the minimal cost safe security policy.",IEEE Xplore,29th Annual International Computer Software and Applications Conference (COMPSAC'05),28
53,y,Component Model of Grid Cyber Physical Systems Based on Finite Automata,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8997800,G. Lin; S. Liu; Y. Wang,10.1109/IAEAC47372.2019.8997800,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8997800,20190.0,IEEE Conferences,"the power system is gradually developing into a grid cyber physical system with deep integration of information systems and physical systems on the basis of informatization and automation. Studying the grid cyber physical system will provide a solid theoretical foundation for the construction of smart grids and ubiquitous power Internet of Things. In this paper, the finite-state automaton model of power components is studied from the micro level. The working state characteristics, state transition rules and state transition functions of power components are analyzed. The finite-state automaton model of power components is demonstrated by taking Feeder Terminal Unit components as an example.",IEEE Xplore,"2019 IEEE 4th Advanced Information Technology, Electronic and Automation Control Conference (IAEAC)",29
55,y,Using Reinforcement Learning to Increase Grid Security Under Contingency Conditions,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9814746,S. Verzi; R. Guttromson; A. Sorensen,10.1109/KPEC54747.2022.9814746,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9814746,20220.0,IEEE Conferences,"Grid operating security studies are typically employed to establish operating boundaries, ensuring secure and stable operation for a range of operation under NERC guidelines. However, if these boundaries are violated, the existing system security margins will be largely unknown. As an alternative to the use of complex optimizations over dynamic conditions, this work employs the use of Reinforcement-based Machine Learning to identify a sequence of secure state transitions which place the grid in a higher degree of operating security with greater static and dynamic stability margins. The approach requires the training of a Machine Learning Agent to accomplish this task using modeled data and employs it as a decision support tool under severe, near-blackout conditions.",IEEE Xplore,2022 IEEE Kansas Power and Energy Conference (KPEC),30
57,y,"Building a secure, location transparent object invocation system",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=470571,W. S. Liao; D. M. Putzolu; R. H. Campbell,10.1109/IWOOS.1995.470571,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=470571,19950.0,IEEE Conferences,"This paper addresses efficient object invocation in distributed systems. Such systems include support for transparent object migration between computers connected by a network, delegation and revocation of access to objects in a system, and very high speed communication between objects, whether they are located in the same machine or across the network from each other. Asynchronous Transfer Mode (ATM) networks can be effectively utilized to implement many of the necessary features of secure, location transparent object invocation. By using the switch controller in an ATM network as a repository for location information, and by mapping virtual circuits to pairwise object interactions with explicitly declared rights of each object, we are able to provide a high performance system that is both secure and simple.<>",IEEE Xplore,Proceedings of International Workshop on Object Orientation in Operating Systems,31
