id,relevant,title,abstract
191,n,An adaptive security end-system model based on active defense,"In order to enhance the security of Web service as well as to support the differentiated service, the paper puts forward an adaptive model, which is based on active defense strategy. It uses a network prediction model on base of self-similar sequence theory to estimate current slates of transfer servers in end-system, then classifies them with fuzzy-C-means clustering method. Finally, we bring forward a load balancing algorithm that is founded on the classification results and grading users' requests. In that way, it optimizes the allocation of system resources and ensures data security and reliability. Moreover, this model is not dependent on the original operating system and is transplantable and extensible"
205,y,Adaptive Cyber Security for Critical Infrastructure,"In the modern era, much of worldwide critical operations from a variety of different sectors are managed by industrial control systems (ICS). A typical ICS includes an extensive range of comput-erized devices, control systems, and networking appliances used to manage efficiently an industrial process across large geographical areas. ICS underpin sensitive and critical national infrastructures such as water treatment and energy production and transportation. The consequences of a successful attack against them can lead to shutting the infrastructure down which has major impacts such as production stoppages or safety implications for people, the environment, and assets. At the same time, running a process while the infrastructure is under attack or compromised also has safety im-plications, potentially catastrophic. This work-in-progress focuses on an adaptive approach, able to alter the defensive posture while providing assurances about operational capacity (or downgrading it) and safety. Our approach involves transforming policies from simply a means to enforce security requirements defined a priori, to adaptive objects that are capable to evolve in response to unfolding attacks. We use a case study of reconnaissance attacks and moving target defense as a means to realize such adaptive security policies."
213,y,Multi modal verification for teleservices and security applications (M2VTS),"The paper presents the European ACTS project ""M2VTS"" which stands for Multi Modal Verification for Teleservices and Security Applications. The primary goal of this project is to address the issue of secured access to local and centralised services in a multimedia environment. The main objective is to extend the scope of application of network based services by adding novel and intelligent functionalities, enabled by automatic verification systems combining multimodal strategies (secured access based on speech, image or other information). The objectives of the project are also to show that limitations of individual technologies (speaker verification, frontal face authentication, profile identification...) can be overcome by relying on multi modal decisions (combination or fusion of these technologies)."
220,n,System-aware security for nuclear power systems,"As shown in the recently publicized Stuxnet attack in Iran, there are significant threats of embedded infections by the producers of equipment that support our nations nuclear power plants that cannot be completely addressed by advancing perimeter security solutions. In this paper we layout a new systems engineering focused approach for addressing these threats: referred to as System-Aware Security for Nuclear Power Systems. This security architecture resides at the application layer and is based on smart reusable system security services. Furthermore, to show how such an architecture can enhance the security of nuclear power systems, this paper present a vision for this architectural formulation for a Nuclear Power Plant Turbine Control System."
232,n,Research on Real Power Grid Security and Stability Based on Big Data Analysis Method and Online Data of Power Grid,"In terms of the accumulation of historical data of the power system, China's power grids have accumulated a great number of dispatching and operating data which contains different voltage levels. Online safety and stability analysis conduct a comprehensive system assessment every 15 minutes, including power flow, short circuit, static safety analysis, voltage stability, transient stability, small disturbance stability, limit transmission power, and scheduling assistance decision-making, and the calculation data and result data are about 1G. Based on the six-month online historical data accumulated by a provincial power grid, this paper studies the characteristics of the actual power grid security and stability, and proposes a system stability analysis method based on the online security analysis of historical resources. At the same time, Considering the time-varying characteristics of the power system, an operation rule extracting method was proposed. Firstly, based on the correlation analysis methods, the corresponding features are selected for each type on the hierarchical grid. Then, a power grid security risk assessment system is established based on load ratio, and line limitation. Finally, this article automatically discovers the characteristics and rules of grid dispatching operations from numerous online data, provides a theoretical basis for operational mode and scheduling decisions, further improves the ability of large-scale grid dispatching and online safety analysis, and enhances the ability of power grids to resist the influence of external factors on safe and stable operations ability and has important practical application value."
260,y,Engineering topology aware adaptive security: Preventing requirements violations at runtime,"Adaptive security systems aim to protect critical assets in the face of changes in their operational environment. We have argued that incorporating an explicit representation of the environment's topology enables reasoning on the location of assets being protected and the proximity of potentially harmful agents. This paper proposes to engineer topology aware adaptive security systems by identifying violations of security requirements that may be caused by topological changes, and selecting a set of security controls that prevent such violations. Our approach focuses on physical topologies; it maintains at runtime a live representation of the topology which is updated when assets or agents move, or when the structure of the physical space is altered. When the topology changes, we look ahead at a subset of the future system states. These states are reachable when the agents move within the physical space. If security requirements can be violated in future system states, a configuration of security controls is proactively applied to prevent the system from reaching those states. Thus, the system continuously adapts to topological stimuli, while maintaining requirements satisfaction. Security requirements are formally expressed using a propositional temporal logic, encoding spatial properties in Computation Tree Logic (CTL). The Ambient Calculus is used to represent the topology of the operational environment - including location of assets and agents - as well as to identify future system states that are reachable from the current one. The approach is demonstrated and evaluated using a substantive example concerned with physical access control."
266,n,Automatic management of network security policy,"The paper describes work in our project funded by the DARPA Dynamic Coalitions program to design, develop, and demonstrate a system for automatically managing security policies in dynamic networks. Specifically, we aim to reduce human involvement in network management by building a practical network reconfiguration system so that simple security policies stated as positive and negative invariants are upheld as the network changes. The focus of this project is a practical tool to help systems administrators verifiably enforce simple multi-layer network security policies. Our key design considerations are computational cost of policy validation and the power of the enforcement primitives. The central component is a policy engine populated by models of network elements and services that validates policies and computes new configuration settings for network elements when they are violated. We instantiate our policy enforcement tool using a monitoring and instrumentation layer that reports network changes as they occur and implements configuration changes computed by the policy engine."
353,n,NextGen flight security risk assessment information concept,"One of the foundational elements of the Next Generation Air Transportation System (NextGen) Secure Airspace concept is the flight security risk assessment. This risk assessment is continually performed and updated based on changes to security-related information pertaining to a particular flight, as well as changes to the security environment external to the flight; e.g., other flights, airports, and airspace. This dynamic risk assessment is part of the NextGen layered, adaptive security concept in which technologies, policies, and procedures are adaptively scaled and deployed to counter a particular threat. This paper describes key information concepts for dynamic flight security risk assessment."
354,n,Probabilistic Evaluation of Substation Criticality Based on Static and Dynamic System Performances,"In most practical cases, traditional methods for assessing the reliability of substations, separately from the electric power network, are not sufficient to a good understanding of the system performance and possible reinforcements. This paper presents a new methodology to evaluate the criticality of electrical substations taking into account their possible operating states, associate probabilities, and consequences on the static and dynamic performance of the electric power system. Two complementary reliability indices are proposed to express the dynamic security and static adequacy levels that a substation provides to the power grid. An application in a test system is presented and the substation criticality ranking is provided and discussed."
381,n,Dynamically evolvable distributed systems,"Dynamic evolution allows designers to move logic from interpreted data structures into directly executed code. This provides the efficiency of code-driven security enforcement without sacrificing flexibility. The Evolvable Systems Project (ESP) at University of California, is developing techniques for safely and securely evolve distributed Java applications at runtime. We briefly describe the design and implementation of a type-safe model for dynamically modifying Java programs on a single host. We then describe how this model can be applied for building an adaptive security infrastructure. An extension of the single host model to a distributed environment is considered. Finally, we conclude with a brief outline of the project and the future work."
386,n,The method of selecting the operation modes of the multifunctional HF radio,"The article proposes the method for determining the operation modes of the multifunctional radio using the theory of fuzzy logic. The method takes into account the requirements for customers of various categories of importance. The method implements two ways of evaluating the effectiveness of each of the available operating modes of the radio. In the first case, the timely, credibility and security of information transmission on the specified radio route is evaluated. In the second case, the system supports decision-making based on the expert assessment is used. The method would be used for the development of an automated system decided to determine the operation modes of a multifunctional radio."
436,y,"Adaptive SSL: Design, Implementation and Overhead Analysis","Adaptive security is based on the observation that the security requirements of a system or service heavily depend on the environment in which they operate and should therefore be dynamically adjusted to best operate within that environment as the environment changes. In this paper we are concerned with adapting the choice of cryptographic algorithms applied to client-server interactions. To that end, we design and implement an adaptation controller for SSL (Secure Socket Layer), called Adaptive SSL."
439,n,Design of a GPS-enabled multi-modal multi-controlled intelligent spybot,"Intelligent robots need to have the ability to adjust their actions, state and behavior (i.e., response), as per the inputs that could be influenced by their immediate environment and/or situation/s. Hence, intelligent robots have diverse applications in domains such as security, automation, industry and agriculture. Such robots when used for surveillance or spying operations by military or police forces are called spybots. This paper aims to highlight the need and importance of developing systems that have the ability to remotely control their functions, response and operation, using multiple-controls and commands given by multiple-modalities. As an example, to give a live physical demonstration of the proposed concepts, a prototype smart spybot is developed. The prototype spybot can be controlled using multi-modalities such as text, touch, speech and gestures. It can be remotely operated using an application running on an Android based smart-phone, or a website, or an interactive program running on a laptop. Each can be connected by wires or wirelessly. The prototype spybot also has decision making capability and obstacle-avoidance feature. It is GPS enabled, and can be used as a tracker also. This intelligent spybot can directly fetch the live-video feeds and the spied data to a website, along with GPS coordinates. Since the prototype spybot is speech and gesture-enabled, it can also be used effectively by the people having restricted physical abilities. The initial performance results and trials are encouraging. The prototype spybot can potentially be used for a range of applications."
444,y,Adaptive Cybersecurity Monitoring for Resilient Vehicular Architectures,"The use of new technologies in vehicles, such as automation and connectivity, results in the addition of more software components, which in turn increases the potential vulnerabilities and attack surfaces for the vehicle. To address this, cybersecurity monitoring of vehicle fleets is required to detect and respond to potential cyber threats and vulnerabilities. The aim of this research is to explore a technological approach to fleet monitoring using established IT standards and techniques. The approach involves collecting, filtering, and forwarding cybersecurity information from multiple sources within the vehicle by instrumenting the ROS 2-based architecture and integrating these data sources with the log management tool syslog-ng. The logging configuration can be adapted at runtime using a ROS 2 interface that we developed. The approach is demonstrated with our fleet simulation setup “Fleet in the Loop” and a sophisticated data collection in a Knowledge Graph. The approach at hand can be used to seamlessly integrate ROS 2 in common IT monitoring tools and efficiently increase the resilience of vehicles by integrating adaptive security monitoring."
449,y,Application of Multi-mode Heterogeneous Communication in Low-Voltage Distribution Network,"With the proliferation of massive data at power terminals, the demand for communications in low-voltage distribution networks is also increasing. Therefore, an effective wide-area, high-speed, two-way, real-time, and integrated communication system is needed. This paper studies the application of multi-mode heterogeneous communication in low-voltage distribution network. Several wired communication and wireless communication networks are combined to form a heterogeneous network to realize comprehensive perception of equipment status, efficient processing of data and information, and convenient and flexible business applications. The heterogeneous convergent network environment to realize the full coverage of the low-voltage distribution communication network has practical research value to ensure the high reliability and high security of the distribution network communication."
454,n,Embedded Network Firewall on FPGA,"This paper describes the design of a highly customizable hardware packet filtering firewall to be embedded on a network gateway. This firewall has the ability to process the data packets based on source and destination TCP/UDP port number, source and destination IP address range, source MAC address and combination of source IP address, and destination port number. It is capable of accepting configuration changes in real time. An Alter a FPGA platform has been used for implementing and evaluating the network firewall."
494,n,On the Impact of Early Design Decisions on Quality Attributes of Automated Driving Systems,"Initiatives such as smart mobility and automated driving bring new concerns such as safety and security for the automotive industry. New architecture and designs are required for the in-vehicle systems to address these emerging concerns. Early design decisions have a large impact on the required functionalities as well as the quality attributes of these systems. Understanding the impact of design decisions on the system quality is crucial for successful system development. It is difficult to estimate the requirements for safety (at an early development stage) considering the innovation aspect of automated driving. These safety requirements have a considerable influence on project planning and development cost. Therefore, it is important for the industry to understand the decision points and their impact on system design. In this article, we share our experience on understanding the impact of early design decisions on safety requirements. We particularly discuss the impact of design decisions regarding the operational design domain on (functional) safety. We provide two automated driving systems as discussion cases and investigate the impact of the operational situation on the safety requirements such as safe state and degraded operating mode. We show how posting small constraints on the operational situation can result in simplification of the sensor and actuator requirements of these systems."
501,n,Wireless LAN design alternatives,"The authors have discussed several alternatives in wireless LAN design: media choice, operating frequency, operating mode, network topology, and access method. Although each technical choice presents both advantages and disadvantages, they argue that there is a design point that provides the best fit with present and future wireless LAN user needs. Considering all factors/spl mdash/including robustness, regulatory considerations, and interference avoidance/spl mdash/using a product based on the slow frequency-hopping spread spectrum, in the 2.4 GHz ISM band, relying on a base station remote station network topology and using a TDMA-based access method is the best way to meet the needs of radio-frequency wireless LAN users. The choices are many, but slow frequency-hopping at 2.4 GHz and TDMA-based medium access control provide the best mix of cost, range, interference, and performance.<>"
518,n,A Conception of Prospects for Application of Edge Computing Technology in Equipment Support,"Edge computing is a new computing model that is different from the traditional cloud computing model. It helps to relieve the pressure on the network bandwidth and cloud computing center, reduce the computing system latency, and improve the service responsiveness by deploying computing and storage resources closer to the network edge and data source. Edge computing has been widely used and rapidly developed in the civil field due to its numerous benefits. In order to make better use of edge computing technology in military applications, we have carefully analyzed the characteristics of the military application environment. In response to these characteristics, we believe that edge computing technology can be applied to the field of equipment maintenance in order to improve equipment maintenance effectiveness. Based on these, researchers proposed a deployment model and main application scenarios for edge computing technology utilized in the equipment support field. Finally, researchers summarized three major advantages and proposed three suggestions to promote the use of edge computing technology in the equipment support field."
529,y,Towards Requirements for Self-Healing as a Means of Mitigating Cyber-Intrusions in Medical Devices,"In recent years, “security by design” has become a fundamental requirement for new technologies, especially for those that interconnect various systems and their components, e.g., implanted medical devices with remote configurability capabilities. As such, security of implanted medical devices has become a concern exacerbated by the tight constraints characterizing them and the need to ensure patients’ safety as these devices typically work to assure life-critical functions. To protect such systems, multiple proposals have been made to detect threats and mitigate vulnerabilities and malware intrusions. A common approach is utilizing hardware redundancy to deal with system faults, however, implanted medical devices work under tight power and area constraints that may not always allow for redundancy.In this paper, we build on an existing multi-modal based mitigation scheme for securing medical devices and propose self-healing capabilities that would allow the device to automatically reestablish functionalities compromised due to external threats."
539,n,"Southeast Michigan 2014 Test Bed project architecture update: Developing, refining and implementing the USDOT's Connected Vehicle Reference Implementation Architecture","The US Department of Transportation's (USDOT) Southeast Michigan Connected Vehicle Test Bed originally hosted USDOT Proof of Concept Testing (POC), starting in 2007. Following the success of the POC, the USDOT initiated the development of a Connected Vehicle Reference Implementation Architecture (CVRIA), and in 2013 began the final design and trial implementation of the CVRIA at the USDOT's Southeast Michigan Connected Vehicle Test Bed. All users of this facility are encouraged to develop and deploy solutions (hardware and software) using a common graphical language that is based on the updated Intelligent Transportation Systems (ITS) National Architecture. The development of the project architecture for the Southeast Michigan 2014 Test Bed project has been an iterative process as it is the first real-world implementation of the CVRIA. As a result, the initial architecture design shown in December 2013 has evolved significantly based both on lessons learned from the development and showcasing of the architecture and from the implementation of various components to facilitate implementation and long-term growth and use of the system. The Southeast Michigan Test Bed has been built to accommodate a wide range of user agreements. It is secure and accessible to a wide range of users, including the traveler - often multi-modal - and commercial and transportation providers and authorities. In addition, it is flexible enough to support additional test beds throughout the country by providing a common platform that permits those facilities to focus their resources on testing and developing applications and systems that are relevant to those test beds. In this paper, we present the updated system architecture and our process for evaluation through industry collaboration."
541,n,Technical and Operational Scenarios,"Developing technical and operational scenarios is an activity that spans from policy to technical implementation in determining the controls and indicators used in proper system evaluation. A popular approach for performing high‐level evaluation includes threat modeling, which provides opportunities for future scenario and Course of Action (COA) use cases. The ARMOUR Framework provides example technical and operational scenarios with the aim of supporting an overall cyber framework. Protective cyber scenarios take a variety of forms. Proactive scenarios are used to evaluate how the network responds to anomalies, or time to detect anomalous devices and configuration changes. Reactive scenarios, on the other hand, often training focused, and are used to perform standard Disaster Recovery/Continuity of Operations (DR/COOP) enterprise evaluations. Technical scenarios primarily deal with network anomalies. Cyber Operational Architecture Training System (COATS) explores methods for using modeling & simulation (M&S) to support training."
544,n,Self-Organising and Self-Learning Model for Soybean Yield Prediction,"Machine learning has arisen with advanced data analytics. Many factors influence crop yield, such as soil, amount of water, climate, and genotype. Determining factors that significantly influence yield prediction and identify the most appropriate predictive methods are important in yield management. It is critical to consider and study the combination of different crop factors and their impact on the yield. The objectives of this paper are: (1) to use advanced data analytic techniques to precisely predict the soybean crop yields, (2) to identify the most influential features that impact soybean predictions, (3) to illustrate the ability of Fuzzy Rule-Based (FRB) sub-systems, which are self-organizing, self-learning, and data-driven, by using the recently developed Autonomous Learning Multiple-Model First-order (ALMMo-1) system, and (4) to compare the performance with other well-known methods. The ALMMo-1 system is a transparent model, which stakeholders can easily read and interpret. The model is a data-driven and composed of prototypes selected from the actual data. Many factors affect the yield, and data clouds can be formed in the feature/data space based on the data density. The data cloud is the key to the IF part of FRB sub-systems, while the THEN part (the consequences of the IF condition) illustrates the yield prediction in the form of a linear regression model, which consists of the yield features or factors. In addition, the model can determine the most influential features of the yield prediction online. The model shows an excellent prediction accuracy with a Root Mean Square Error (RMSE) of 0.0883, and Non-Dimensional Error Index (NDEI) of 0.0611, which is competitive with state-of-the-art methods."
546,n,On Adversarial Robustness Of Large-Scale Audio Visual Learning,"As audio-visual systems are being deployed for safety-critical tasks such as surveillance and malicious content filtering, their robustness remains an under-studied area. Existing published work on robustness either does not scale to large-scale dataset, or does not deal with multiple modalities. This work aims to study several key questions related to multi-modal learning through the lens of robustness: 1) Are multi-modal models necessarily more robust than uni-modal models? 2) How to efficiently measure the robustness of multi-modal learning? 3) How to fuse different modalities to achieve a more robust multi-modal model? To understand the robustness of the multi-modal model in a large-scale setting, we propose a density-based metric, and a convexity metric to efficiently measure the distribution of each modality in high-dimensional latent space. Our work provides a theoretical intuition together with empirical evidence showing how multi-modal fusion affects adversarial robustness through these metrics. We further devise a mix-up strategy based on our metrics to improve the robustness of the trained model. Our experiments on AudioSet [1] and Kinetics-Sounds [2] verify our hypothesis that multi-modal models are not necessarily more robust than their uni-modal counterparts in the face of adversarial examples. We also observe our mix-up trained method could achieve as much protection as traditional adversarial training, offering a computationally cheap alternative."
572,n,Fault Diagnosis of Air Compressor in Nuclear Power Plant Based on Vibration Observation Window,"Nuclear Power Plant (NPP) have increasing demand to improve safety and reliability of air compressors with various fault diagnosis methods. Fault diagnosis methods may provide early fault warning information for air compressors rapidly and give a reference for maintenance, especially for the serious faults affecting security strongly. In this work, a method framework of fault diagnosis system based on the Vibration Observation Window (VOW) for air compressors is proposed. The VOW constructs a dynamic vibration tensor which presents the operating state of air compressors according to the real time vibration data, strengthens the association among the monitoring data in spatial domain and time domain. Thus, dynamic characteristic, which reflects the fault information, can be contained in the dynamic vibration tensor explicitly. For proving the advantage of VOW method, we compare the performance between the fault diagnosis system with VOW and the fault diagnosis system without VOW based on different hardware environments: embedded computer, and high speed Industrial PC. The results show that the VOW method can both improve the performance of the vibration fault diagnosis system of NPPs in different hardware environments."
585,n,A Testbed for Adaptive Security for IoT in EHealth,"Wireless Body Area Sensor Networks (WBASNs) are networks of low-power sensing objects that collect and send vital signs of a patient using low-rate communication media. They have been originally created to improve the efficiency of e-health applications and they constitute now an important part of the Internet of Things (IoT) by bringing humans into the IoTs. The ASSET (Adaptive Security for Smart Internet of Things in eHealth) project [1] develops risk-based adaptive security methods and mechanisms for IoT in eHealth. The project requires a real-life testbed to evaluate accurately the adaptive security solutions in realistic simulation and use case scenarios. This paper describes the setup of a testbed for adaptive security for the IoT using current commercial off-the-shelf products and open source software. The particular features of the proposed testbed with regard to those published in the literature are underlined. The paper also discusses the validation of the setup through the study of the impact of antenna orientation on energy consumption. To this purpose, an estimation strategy of the energy consumption using the Holt-Winters prediction method has been developed. This will particularly be useful when studying the feasibility of the adaptive lightweight security solutions that will be part of the ASSET project."
604,n,Multi-Aspect Security Configuration Assessment,"Evaluating the security of a computer network system is a challenging task. Configurations of large systems are complex entities in continuous evolution. The installation of new software, a change in the firewall rules, or the discovery of a software vulnerability can be exploited by a malicious user to gain unauthorized control of the integrity, availability and confidentiality of the assets of an organization.This paper presents a framework for building security assessment tools able to perform online verification of the security of a system configuration. Heterogeneous data generated from multiple sources are integrated into a homogeneous RDF representation using domain-specific ontologies and used for assessing the security of a configuration toward known attack vectors. Different vocabularies can be defined to express configurations, policies and attacks for each aspect of the security of an organization (e.g., network security, physical security and application level security) in a modular way. By automatically extracting part of the configuration from the network system, the tool is able to detect in near real-time security threats created by configuration changes."
606,n,Threat Modeling for Security Assessment in Cyberphysical Systems,"In this paper, threat modeling issues in cyberphysical systems are discussed. First a generic model of a cyberphysical system is outlined, with an attack surface suitable for security analysis. Then, a case study of network communication in a road vehicle is presented, with its behavior modeled by a discrete time Markov chain, under the assumption that security violations can cause gradual degradation of functionality. Finally, two ways of numerical assessment of vulnerabilities are analyzed, to help better estimate probabilities of state changes in a Markov model."
624,n,The Runtime Model Checking Method for Zero Trust Security Policy,"The policy administrator is a zero trust dynamic authority determination component, which is mainly responsible for the management, storage and evaluation of policies. Aiming at the evaluation of the security and effectiveness of the policies in the policy administrator, this paper proposes to introduce the policy model online service verification component in the policy administrator. First, the policy file is formalized into a policy instance logic specification through logical abstraction, and then the policy instance logic specification Perform model check with the policy abstract logic specification developed by the policy designer to realize the pre-check verification of the consistency of the police file. After the completion of the pre-check and verification, the policy will be executed for the policy manager to make a decision on the execution point of the policy. At this time, the system operating state data intercepted by the policy enforcement point and the embedded system's security, compliance, and legal treaty form process specifications are used to perform model post-check to achieve the security and alarm after the implementation of the policy. Through the combination of pre-check and post-check, the evaluation and testing of the policy and effectiveness of the zero-trust security policy are finally realized."
