contentType,identifier,language,url/0/format,url/0/platform,url/0/value,url/1/format,url/1/platform,url/1/value,url/2/format,url/2/platform,url/2/value,title,creators/0/creator,creators/1/creator,creators/2/creator,creators/3/creator,creators/4/creator,publicationName,openaccess,doi,publisher,publisherName,publicationDate,publicationType,issn,eIssn,volume,number,issueType,topicalCollection,genre/0,startingPage,endingPage,journalId,onlineDate,copyright,abstract,keyword/0,keyword/1,keyword/2,subjects/0,subjects/1,subjects/2,subjects/3,printDate,coverDate,keyword/3,keyword/4,subjects/4,creators/1/ORCID,genre/1,bookEditors/0/bookEditor,bookEditors/1/bookEditor,bookEditors/2/bookEditor,printIsbn,electronicIsbn,isbn,seriesId,keyword/5,keyword/6,keyword/7,keyword/8,keyword/9,keyword/10,keyword/11,keyword/12,keyword/13,keyword/14,keyword/15,keyword/16,keyword/17,creators/0/ORCID,bookEditors/3/bookEditor,bookEditors/4/bookEditor,bookEditors/5/bookEditor,bookEditors/6/bookEditor,conferenceInfo/0/confSeriesName,conferenceInfo/0/confSeriesID/0/type,conferenceInfo/0/confSeriesID/0/value,conferenceInfo/0/confEventID/0/type,conferenceInfo/0/confEventID/0/value,conferenceInfo/0/confEventAbbreviation,conferenceInfo/0/confNumber,conferenceInfo/0/confEventLocation/0/locationType,conferenceInfo/0/confEventLocation/0/city,conferenceInfo/0/confEventLocation/0/country/0/code,conferenceInfo/0/confEventLocation/0/country/0/value,conferenceInfo/0/confEventDateStart/0/year,conferenceInfo/0/confEventDateStart/0/month,conferenceInfo/0/confEventDateStart/0/day,conferenceInfo/0/confEventDateEnd/0/year,conferenceInfo/0/confEventDateEnd/0/month,conferenceInfo/0/confEventDateEnd/0/day,conferenceInfo/0/confEventURL,conferenceInfo/0/confEventPeerReviewInformation/averageNumberOfPapersPerReviewer,conferenceInfo/0/confEventPeerReviewInformation/averageNumberOfReviewsPerPaper,conferenceInfo/0/confEventPeerReviewInformation/externalReviewersInvolved,conferenceInfo/0/confEventPeerReviewInformation/fullPapersAcceptanceRate,conferenceInfo/0/confEventPeerReviewInformation/fullPapersAccepted,conferenceInfo/0/confEventPeerReviewInformation/managementSystem,conferenceInfo/0/confEventPeerReviewInformation/shortPapersAccepted,conferenceInfo/0/confEventPeerReviewInformation/submissionsSentForReview,conferenceInfo/0/confEventPeerReviewInformation/type,subjects/5,subjects/6,conferenceInfo/0/confSeriesID/1/type,conferenceInfo/0/confSeriesID/1/value,bookEditors/7/bookEditor,bookEditors/8/bookEditor,conferenceInfo/0/confEventPeerReviewInformation/value,creators/5/creator
Chapter ConferencePaper,doi:10.1007/978-3-030-39445-5_45,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-39445-5_45,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-3-030-39445-5_45,,,http://dx.doi.org/10.1007/978-3-030-39445-5_45,An Adaptive Security Architecture for Detecting Ransomware Attack Using Open Source Software,"Caliaberah, Prya Booshan","Armoogum, Sandhya","Li, Xiaoming",,,Advances in Information and Communication,false,10.1007/978-3-030-39445-5_45,Springer,Springer International Publishing,2020-01-01,Book,,,,,,,OriginalPaper Proceedings,,,,2020-02-25,©2020 Springer Nature Switzerland AG,"Ransomware is a serious security threat faced by organizations and individuals today, and ransomware attacks are on the increase. There is no infallible solution for protecting against ransomware as the malware code uses metamorphic and polymorphic algorithms to generate different versions thus evading signature detection. Ransomware also uses domain generator algorithms (DGA) to generate new domains for the command and control server (C&C), they constantly exploit new vulnerabilities, and they use various infection vectors. Thus, for an organization to protect itself, an adaptive security architecture is required to constantly monitor the network so as to detect new ransomware infection at an early stage such that it can be blocked before encryption of files occur. This approach is a defence in depth approach which supplements the network defences such as patch management, anti-virus software, intrusion detection, firewalls, and content filtering. A framework for the implementation of the adaptive security architecture model using open source software is presented and the proposed framework is tested against the WannaCry and Petya ransomware. The proposed framework was successfully able to alert of the ransomware attack and by the use of the AppLocker feature on Windows, it was even possible to prevent the Petya ransomware from executing on the victim host.",Ransomware,Adaptive Security Architecture (ASA),Monitoring,Engineering,Computational Intelligence,"Communications Engineering, Networks",,,,WannaCry,Petya,,,,"Arai, Kohei","Kapoor, Supriya","Bhatia, Rahul",978-3-030-39444-8,978-3-030-39445-5,978-3-030-39444-8,11156,Snort,OSSEC,AppLocker,,,,,,,,,,,,,,,,Future of Information and Communication Conference,Springer,ficc,Springer,ficc2020,FICC,,,"San Francisco, CA, CA",US,USA,2020,03,05,2020,03,06,https://saiconference.com/FICC,,,,,,,,,,,,,,,,,
Article,doi:10.1007/s11036-019-01355-y,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s11036-019-01355-y,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/s11036-019-01355-y,,,http://dx.doi.org/10.1007/s11036-019-01355-y,Adaptive Security for Self-Protection of Mobile Computing Devices,"Ahmad, Aakash","Malik, Asad Waqar","Alreshidi, Abdulrahman","Khan, Wilayat","Sajjad, Maryam",Mobile Networks and Applications,false,10.1007/s11036-019-01355-y,Springer,Springer US,2019-09-05,Journal,1383-469X,1572-8153,,,,,OriginalPaper,1,20,11036,2019-09-05,"©2019 Springer Science+Business Media, LLC, part of Springer Nature","Mobile computing has emerged as a pervasive technology that empowers its users with portable computation and context-aware communication. Smart systems and infrastructures can exploit portable and context-aware computing technologies to provide any time, any place digitized services on the go. Despite the offered benefits, such as portability, context-sensitivity, and high connectivity, mobile computing also faces some critical challenges. These challenges include resource poverty as well as data security and privacy that need to be addressed to increase the pervasiveness of mobile systems. We propose to provide a self-protection mechanism for mobile devices against the unforeseen security threats that can attack the critical resources of mobile devices. We have unified the concepts of autonomic computing and computer security to develop a framework that enables adaptive security to dynamically configure the security measures of a mobile device. We have developed a framework - an android-based prototype - that supports automation and user decision to protect the critical hardware and software resources of a device. Evaluation results demonstrate (i) framework’s accuracy for runtime detection and minimization of threats, and (ii) framework’s efficiency for device’s resource utilization.",Context-aware computing,Secure mobile systems,Adaptive security,Engineering,"Communications Engineering, Networks",Computer Communication Networks,Electrical Engineering,,,Software engineering,Smart systems,IT in Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter ConferencePaper,doi:10.1007/978-981-10-1627-1_51,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-10-1627-1_51,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-981-10-1627-1_51,,,http://dx.doi.org/10.1007/978-981-10-1627-1_51,A New Adaptative Security Protocol for UAV Network,"Zouhri, Oumhany","Benhadou, Siham","Medromi, Hicham",,,Advances in Ubiquitous Networking 2,false,10.1007/978-981-10-1627-1_51,Springer,Springer Singapore,2017-01-01,Book,,,,,,,OriginalPaper Proceedings,,,,2016-11-04,©2017 Springer Science+Business Media Singapore,"An Unmanned Aerial Vehicle (UAV) is a pilotless aerial vehicle which can be controlled either autonomously by onboard computers or remotely controlled by a pilot at the Ground Control Station (GCS). UAV and Ground Control Station (GCS) define a new form network, this kind of network persuade some specific characteristics as sufficient energy, network connectivity, mobility and network security. These specifications persuade difficult challenges for building a trustworthy and secure communication architecture solution. In this paper we present our new secure communication protocol taking into account the specifications of UAV network. This new architecture depends mostly on the definition of a secure protocol which provides authentication, confidentiality and integrity, in preserving network resources for effective data exchanged between UAV and GCS.",Security architecture,Security protocol,Cryptography,Engineering,"Communications Engineering, Networks",Computer Communication Networks,,,,UAV system,,,,,"El-Azouzi, Rachid","Menasche, Daniel Sadoc","Sabir, Essaïd",978-981-10-1626-4,978-981-10-1627-1,978-981-10-1626-4,7818,,,,,,,,,,,,,,,"De Pellegrini, Francesco","Benjillali, Mustapha",,,International Symposium on Ubiquitous Networking,Springer,unet,Springer,unet2016,UNet,2,,Casablanca,MA,Morocco,2016,05,30,2016,06,01,,,,,,,,,,,,,DBLP,unet,,,,
Article,doi:10.1007/s10515-013-0133-z,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s10515-013-0133-z,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/s10515-013-0133-z,,,http://dx.doi.org/10.1007/s10515-013-0133-z,"Adaptable, model-driven security engineering for SaaS cloud-based applications","Almorsy, Mohamed","Grundy, John","Ibrahim, Amani S.",,,Automated Software Engineering,false,10.1007/s10515-013-0133-z,Springer,Springer US,2014-04-01,Journal,0928-8910,1573-7535,21,2,Regular,,OriginalPaper,187,224,10515,2013-09-18,©2013 Springer Science+Business Media New York,"Software-as-a-service (SaaS) multi-tenancy in cloud-based applications helps service providers to save cost, improve resource utilization, and reduce service customization and maintenance time. This is achieved by sharing of resources and service instances among multiple “tenants” of the cloud-hosted application. However, supporting multi-tenancy adds more complexity to SaaS applications required capabilities. Security is one of these key requirements that must be addressed when engineering multi-tenant SaaS applications. The sharing of resources among tenants—i.e. multi-tenancy—increases tenants’ concerns about the security of their cloud-hosted assets. Compounding this, existing traditional security engineering approaches do not fit well with the multi-tenancy application model where tenants and their security requirements often emerge after the applications and services were first developed. The resultant applications do not usually support diverse security capabilities based on different tenants’ needs, some of which may change at run-time i.e. after cloud application deployment. We introduce a novel model-driven security engineering approach for multi-tenant, cloud-hosted SaaS applications. Our approach is based on externalizing security from the underlying SaaS application, allowing both application/service and security to evolve at runtime. Multiple security sets can be enforced on the same application instance based on different tenants’ security requirements. We use abstract models to capture service provider and multiple tenants’ security requirements and then generate security integration and configurations at runtime. We use dependency injection and dynamic weaving via Aspect-Oriented Programming (AOP) to integrate security within critical application/service entities at runtime. We explain our approach, architecture and implementation details, discuss a usage example, and present an evaluation of our approach on a set of open source web applications.",Software-as-a-service,Model-driven engineering,Adaptive-security,Computer Science,Artificial Intelligence,Software Engineering/Programming and Operating Systems,,2014-03-21,2014-04,Security engineering,Tenant-oriented security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter ConferencePaper,doi:10.1007/978-3-319-12087-4_8,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-319-12087-4_8,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-3-319-12087-4_8,,,http://dx.doi.org/10.1007/978-3-319-12087-4_8,EAdroid: Providing Environment Adaptive Security for Android System,"Liang, Hongliang","Dong, Yu","Wang, Bin","Liu, Shuchang",,Information Security and Cryptology,false,10.1007/978-3-319-12087-4_8,Springer,Springer International Publishing,2014-01-01,Book,,,,,,,OriginalPaper Proceedings,,,,2014-10-25,©2014 Springer International Publishing Switzerland,"With the rapid popularization of Android system around the world, of the increase in Android malwares post serious threats to the security of users’ Android device and the privacy stored in it. At the same time, many trusted third party institutions (such as military, government institutions) need to customize the security policy of their Android devices according to their regulations, but most of them do not have this capability. This paper proposed an environment adaptive security mechanism for Android platform called EAdroid, which providing a simple way for trusted third party institutions to customize the security policy of their Android devices. EAdroid reforms the framework layer of Android system and synthetically applies Smack security module of Linux. At the same time, the security rules of framework layer and kernel layer in EAdroid can adapt to the current environment context. Series of tests show that EAdroid can efficiently protect the security of user’s devices and privacy with negligible overhead of performance.",Environment adaptive,Security,Android system,Computer Science,Systems and Data Security,Cryptology,Coding and Information Theory,,,Access control,,Algorithm Analysis and Problem Complexity,,,"Lin, Dongdai","Xu, Shouhuai","Yung, Moti",978-3-319-12086-7,978-3-319-12087-4,978-3-319-12086-7,558,,,,,,,,,,,,,,,,,,,International Conference on Information Security and Cryptology,Springer,cisc,Springer,cisc2013,Inscrypt,9,,Guangzhou,CN,China,2013,11,27,2013,11,30,,,,,,,,,,,,,DBLP,cisc,,,,
Chapter ConferencePaper,doi:10.1007/978-3-319-04873-4_10,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-319-04873-4_10,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-3-319-04873-4_10,,,http://dx.doi.org/10.1007/978-3-319-04873-4_10,Revocable IBE Systems with Almost Constant-Size Key Update,"Su, Le","Lim, Hoon Wei","Ling, San","Wang, Huaxiong",,Pairing-Based Cryptography – Pairing 2013,false,10.1007/978-3-319-04873-4_10,Springer,Springer International Publishing,2014-01-01,Book,,,,,,,OriginalPaper Proceedings,,,,,©2014 Springer International Publishing Switzerland,"Identity-based encryption (IBE) has been regarded as an attractive alternative to more conventional certificate-based public key systems. It has recently attracted not only considerable research from the academic community, but also interest from the industry and standardization bodies. However, while key revocation is a fundamental requirement to any public key systems, not much work has been done in the identity-based setting. In this paper, we continue the study of revocable IBE (RIBE) initiated by Boldyreva, Goyal, and Kumar. Their proposal of a selective secure RIBE scheme, and a subsequent construction by Libert and Vergnaud in a stronger adaptive security model are based on a binary tree approach, such that their key update size is logarithmic in the number of users. In this paper, we show that the key update size could be further reduced to constant with some small amount of auxiliary information, through a novel combination of the Lewko and Waters IBE scheme and the Camenisch, Kohlweiss, and Soriente pairing-based dynamic accumulator.",public-key cryptography,identity-based encryption,revocation,Computer Science,Cryptology,Systems and Data Security,Coding and Information Theory,,,accumulator,adaptive security,Theory of Computation,,,"Cao, Zhenfu","Zhang, Fangguo",,978-3-319-04872-7,978-3-319-04873-4,978-3-319-04872-7,558,,,,,,,,,,,,,,,,,,,International Conference on Pairing-Based Cryptography,Springer,pairing,Springer,pairing2013,Pairing,6,,Beijing,CN,China,2013,11,22,2013,11,24,,,,,,,,,,,,,DBLP,pairing,,,,
Chapter ConferencePaper,doi:10.1007/978-3-319-03584-0_19,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-319-03584-0_19,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-3-319-03584-0_19,,,http://dx.doi.org/10.1007/978-3-319-03584-0_19,Anonymous Identity-Based Broadcast Encryption with Adaptive Security,"Zhang, Leyou","Wu, Qing","Mu, Yi",,,Cyberspace Safety and Security,false,10.1007/978-3-319-03584-0_19,Springer,Springer International Publishing,2013-01-01,Book,,,,,,,OriginalPaper Proceedings,,,,,©2013 Springer International Publishing Switzerland,"Anonymous identity-based encryption(IBE) can be used to build Public-Key Encryption with Keyword Search. But no efficient previous works in the identity-based broadcast encryption are known. In this paper, we extend the anonymous IBE definition to the identity-based broadcast encryption. Then a new construction of anonymous identity-based broadcast encryption is proposed in the standard model. In the new construction, the ciphertexts and private keys are indistinguishable for the different receivers set. The proposed scheme has constant size ciphertexts and achieves adaptive security. In addition, the security of the proposed scheme is reduced to the static assumptions in a composite group.",Identity-based encryption,anonymous identity-based broadcast encryption,dual system encryption,Computer Science,Systems and Data Security,Computer Communication Networks,Cryptology,,,static assumptions,standard model,Computers and Society,,,"Wang, Guojun","Ray, Indrakshi","Feng, Dengguo",978-3-319-03583-3,978-3-319-03584-0,978-3-319-03583-3,558,,,,,,,,,,,,,,,"Rajarajan, Muttukrishnan",,,,International Symposium on Cyberspace Safety and Security,Springer,css,Springer,css2013,CSS,5,,Zhangjiajle,CN,China,2013,11,13,2013,11,15,,,,,,,,,,,,,DBLP,css,,,,
Chapter ConferencePaper,doi:10.1007/978-3-642-28166-2_12,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-642-28166-2_12,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-3-642-28166-2_12,,,http://dx.doi.org/10.1007/978-3-642-28166-2_12,Design of Adaptive Security Mechanisms for Real-Time Embedded Systems,"Saadatmand, Mehrdad","Cicchetti, Antonio","Sjödin, Mikael",,,Engineering Secure Software and Systems,false,10.1007/978-3-642-28166-2_12,Springer,Springer Berlin Heidelberg,2012-01-01,Book,,,,,,,OriginalPaper Proceedings,,,,,©2012 Springer-Verlag GmbH Berlin Heidelberg,"Introducing security features in a system is not free and brings along its costs and impacts. Considering this fact is essential in the design of real-time embedded systems which have limited resources. To ensure correct design of these systems, it is important to also take into account impacts of security features on other non-functional requirements, such as performance and energy consumption. Therefore, it is necessary to perform trade-off analysis among non-functional requirements to establish balance among them. In this paper, we target the timing requirements of real-time embedded systems, and introduce an approach for choosing appropriate encryption algorithms at runtime, to achieve satisfaction of timing requirements in an adaptive way, by monitoring and keeping a log of their behaviors. The approach enables the system to adopt a less or more time consuming (but presumably stronger) encryption algorithm, based on the feedback on previous executions of encryption processes. This is particularly important for systems with high degree of complexity which are hard to analyze statistically.",Security,real-time embedded systems,runtime adaptation,Computer Science,Computer Communication Networks,Cryptology,Software Engineering/Programming and Operating Systems,,,trade-off,,Data Structures and Information Theory,,,"Barthe, Gilles","Livshits, Benjamin","Scandariato, Riccardo",978-3-642-28165-5,978-3-642-28166-2,978-3-642-28165-5,558,,,,,,,,,,,,,,,,,,,International Symposium on Engineering Secure Software and Systems,Springer,essos,Springer,essos2012,ESSoS,4,,Eindhoven,NL,The Netherlands,2012,2,16,2012,2,17,,,,,,,,,,,Math Applications in Computer Science,Models and Principles,DBLP,essos,,,,
Article,doi:10.1007/s12198-011-0072-5,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s12198-011-0072-5,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/s12198-011-0072-5,,,http://dx.doi.org/10.1007/s12198-011-0072-5,Security perceptions of Delhi commuters at Metro-bus interchange in multi modal perspective,"Kumar, Pawan","Kulkarni, S. Y.","Parida, M.",,,Journal of Transportation Security,false,10.1007/s12198-011-0072-5,Springer,Springer US,2011-12-01,Journal,1938-7741,1938-775X,4,4,Regular,,OriginalPaper,295,307,12198,2011-05-26,"©2011 Springer Science + Business Media, LLC","The operation of Metro, red (AC buses), green (Non-AC buses), purple (HoHo buses) and orange buses ( Cluster buses) has provided a new and strong image to public transport in Delhi. Due to availability of a large number of public modes, the concept of multi modal transport has led to success in Delhi and other Indian metropolitan cities. Integration and Interchange are two important components of multi modal transport system and hence security perceptions of the commuters’ at interchange need to be assessed for implementation of both general and specific security measures. In this context, qualitative model based on perceived relative importance of five security attributes of commuters’ at metro bus interchange has been developed. It is suggested that public transport sector has to make efforts and design the system to prepare and protect passengers and infrastructure. The other non-transport factors such as built environment, design, staff skills, awareness, regular inspection, uninterrupted power supply, etc can contribute to make public transport systems more secure. It is important to have policy level co-ordination among various operators and facilitators to follow up actions in emergency situations. Further, a separate “Multi Modal Transport Security Regulatory Authority” with strong fiscal base to support the cost of security measures and consequences of security failures, must be created.",Transport security,Multi modal transport system,Security attributes,Business and Management,Logistics,Economic Policy,Innovation/Technology Management,,2011-12,,,R & D/Technology Policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Law of the Sea, Air and Outer Space",,,,,,,
Chapter ConferencePaper,doi:10.1007/978-3-642-01001-9_10,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-642-01001-9_10,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-3-642-01001-9_10,,,http://dx.doi.org/10.1007/978-3-642-01001-9_10,Adaptive Security in Broadcast Encryption Systems (with Short Ciphertexts),"Gentry, Craig","Waters, Brent",,,,Advances in Cryptology - EUROCRYPT 2009,false,10.1007/978-3-642-01001-9_10,Springer,Springer Berlin Heidelberg,2009-01-01,Book,,,,,,,OriginalPaper Proceedings,,,,,©2009 Springer-Verlag Berlin Heidelberg,"We present new techniques for achieving adaptive security in broadcast encryption systems. Previous work on fully collusion resistant broadcast encryption systems with very short ciphertexts was limited to considering only static security. First, we present a new definition of security that we call semi-static security and show a generic “two-key” transformation from semi-statically secure systems to adaptively secure systems that have comparable-size ciphertexts. Using bilinear maps, we then construct broadcast encryption systems that are semi-statically secure in the standard model and have constant-size ciphertexts. Our semi-static constructions work when the number of indices or identifiers in the system is polynomial in the security parameter. For identity-based broadcast encryption, where the number of potential indices or identifiers may be exponential, we present the first adaptively secure system with sublinear ciphertexts. We prove security in the standard model.",Random Oracle,Random Oracle Model,Broadcast Encryption,Computer Science,Cryptology,Coding and Information Theory,Computer Communication Networks,,,Challenge Ciphertext,Adaptive Adversary,Systems and Data Security,,,"Joux, Antoine",,,978-3-642-01000-2,978-3-642-01001-9,978-3-642-01000-2,558,,,,,,,,,,,,,,,,,,,Annual International Conference on the Theory and Applications of Cryptographic Techniques,Springer,eurocrypt,Springer,eurocrypt2009,EUROCRYPT,28,,Cologne,DE,Germany,2009,4,26,2009,4,30,,,,,,,,,,,Algorithm Analysis and Problem Complexity,Discrete Mathematics in Computer Science,DBLP,eurocrypt,,,,
Chapter ConferencePaper,doi:10.1007/0-387-25660-1_21,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/0-387-25660-1_21,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/0-387-25660-1_21,,,http://dx.doi.org/10.1007/0-387-25660-1_21,Traffic Redirection Attack Protection System (TRAPS),"Thing, Vrizlynn L. L.","Lee, Henry C. J.","Sloman, Morris",,,Security and Privacy in the Age of Ubiquitous Computing,false,10.1007/0-387-25660-1_21,Springer,Springer US,2005-01-01,Book,,,,,,,OriginalPaper Proceedings,,,,,©2005 Springer-Verlag US,"Distributed Denial of Service (DDoS) attackers typically use spoofed IP addresses to prevent exposing their identities and easy filtering of attack traffic. This paper introduces a novel mitigation scheme, TRAPS, whereby the victim verifies source address authenticity by performing reconfiguration for traffic redirection and informing high ongoing-traffic correspondents. The spoofed sources are not informed and will continue to use the old configuration to send packets, which can then be easily filtered off. Adaptive rate-limiting can be used on the remaining traffic, which may be attack packets with randomly-generated spoofed IP addresses. We compare our various approaches for achieving TRAPS functionality. The end-host approach is based on standard Mobile IP protocol and does not require any new protocols, changes to Internet routers, nor prior traffic flow characterizations. It supports adaptive, real-time and automatic responses to DDoS attacks. Experiments are conducted to provide proof of concept.",Distributed Denial of Service,Attack Response System,Adaptive Security,Computer Science,Cryptology,Data Structures and Information Theory,Information Systems and Communication Service,,,,,Multimedia Information Systems,,,"Sasaki, Ryoichi","Qing, Sihan","Okamoto, Eiji",978-0-387-25658-0,978-0-387-25660-3,978-0-387-25658-0,6102,,,,,,,,,,,,,,,"Yoshiura, Hiroshi",,,,IFIP International Information Security Conference,Springer,sec,Springer,sec2005,SEC,20,,Chiba,JP,Japan,2005,5,30,2005,6,1,,,,,,,,,,,Applications of Mathematics,,DBLP,sec,,,,
Chapter ConferencePaper,doi:10.1007/978-3-540-24767-8_94,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-540-24767-8_94,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-3-540-24767-8_94,,,http://dx.doi.org/10.1007/978-3-540-24767-8_94,Autonomic Protection System Using Adaptive Security Policy,"Park, Sihn-hye","Kim, Wonil","Kim, Dong-kyoo",,,Computational Science and Its Applications – ICCSA 2004,false,10.1007/978-3-540-24767-8_94,Springer,Springer Berlin Heidelberg,2004-01-01,Book,,,,,,,OriginalPaper Proceedings,,,,,©2004 Springer-Verlag Berlin Heidelberg,"There are various techniques to safeguard computer systems and networks against illegal actions. Secure OS based on Role Based Access Control (RBAC) is one of the systems that reflect these techniques. The RBAC system controls access to system resources based on roles. Recently, many systems employ more fine-grained access control on system resources to enhance system security. However, this approach in access control level may cause unexpected problems, since most systems acquire system resources through system call that is hooked on kernel. In this paper, we propose a novel approach to Intrusion Detection System (IDS). The proposed Autonomic Protection System (APS) supports fine-grained intrusion detection. It resides above Secure OS based on RBAC that provides general-grained access control. The system detects intrusions using security policy based on RBAC model. The system performs double checking for intrusions using positive and negative intrusion detection policy. Additionally, as one of active responses, the system supports the self-adaptation of security policy depending on various computing environments. Therefore, the system can detect intrusions more accurately and respond to the attacks actively and appropriately.",Access Control,Intrusion Detection,Security Policy,Computer Science,Theory of Computation,Programming Techniques,Mathematics of Computing,,,Intrusion Detection System,Autonomic Computing,Information Systems and Communication Service,,,"Laganá, Antonio","Gavrilova, Marina L.","Kumar, Vipin",978-3-540-22057-2,978-3-540-24767-8,978-3-540-22057-2,558,,,,,,,,,,,,,,,"Mun, Youngsong","Tan, C. J. Kenneth","Gervasi, Osvaldo",,International Conference on Computational Science and Its Applications,Springer,iccsa,Springer,iccsa2004,ICCSA,4,,Assisi,IT,Italy,2004,5,14,2004,5,17,,,,,,,,,,,Computer Applications,Computational Mathematics and Numerical Analysis,DBLP,iccsa,,,,
Article,doi:10.1007/s11277-021-08243-3,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s11277-021-08243-3,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/s11277-021-08243-3,,,http://dx.doi.org/10.1007/s11277-021-08243-3,Cellular Automata based Cryptography Model for Reliable Encryption Using State Transition in Wireless Network Optimizing Data Security,"Banerjee, Ayan","Kundu, Anirban",,,,Wireless Personal Communications,false,10.1007/s11277-021-08243-3,Springer,Springer US,2021-07-01,Journal,0929-6212,1572-834X,119,1,Regular,,OriginalPaper,877,918,11277,2021-03-19,"©2021 The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature","Authors propose a hardware based approach for reliable encryption in wireless network using Cellular Automata (CA). Distinct layers of encryption have been utilized in proposed model for enhancing data security. Transmitter and receiver modules are designed for performing state transition based encrypted activities. Transmitter module is required for capturing environmental turbulences (noise) from a specific geographical location and send encrypted signal to receiver module through wireless network. Receiver module analyses received signal after decryption for desired activities based on real time situations. Different hardware components are selected and compared based on market study targeting efficient construction of proposed modules. Time complexity and code break complexity are measured using different key lengths, keysets, and data sizes for proposed CA based encryption scheme achieving unique results in hardware based cryptography system. Encryption key length, index, and keyset are required for computing code break complexity in design model. Large data size is effectively managed to calculate protection ratio and reliability factor for realizing efficient protectiveness and accuracy. Comparative study between existing encryption technique and proposed CA based encryption technique is established based on time complexity and code break complexity.",Wireless communication,Encryption system,Advanced encryption system (AES),Engineering,"Communications Engineering, Networks","Signal,Image and Speech Processing",Computer Communication Networks,2021-06-16,2021-07,Cellular automata (CA),CA based encryption,,,,,,,,,,,Cryptography,State transition,,,,,,,,,,,,0000-0003-3529-8268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
