,id,title,authors,doi,link,pub_year,type,abstract,source,pub_title
605,606,Conceptual framework for composite power system health analysis,R. Billinton; S. Aboreshaid; M. Fotuhi-Firuzabad,10.1109/CCECE.1996.548120,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=548120,1996.0,IEEE Conferences,"Probability methods are being used extensively in the area of static adequacy assessment; however, their application to power system security evaluation has not received the same degree of attenti...",IEEE Xplore,Proceedings of 1996 Canadian Conference on Electrical and Computer Engineering
634,635,FBASHI: Fuzzy and Blockchain-Based Adaptive Security for Healthcare IoTs,Z. Zulkifl; F. Khan; S. Tahir; M. Afzal; W. Iqbal; A. Rehman; S. Saeed; A. M. Almuhaideb,10.1109/ACCESS.2022.3149046,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9703287,2022.0,IEEE Journals,"Internet of Things (IoT) is a system of interconnected devices that have the ability to monitor and transfer data to peers without human intervention. Authentication, Authorization and Audit Logs ...",IEEE Xplore,IEEE Access
719,720,Runtime Security Adaptation Using Adaptive SSL,C. J. Lamprecht; A. P. A. van Moorsel,10.1109/PRDC.2008.27,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4725310,2008.0,IEEE Conferences,Self-adaptive security offers great potential in providing timely and fine grained security control. In this paper we experimentally investigate the effects of a security adaptation in various cli...,IEEE Xplore,2008 14th IEEE Pacific Rim International Symposium on Dependable Computing
728,729,Forming the multi-modal situation context in ambient intelligence systems on the basis of self-organizing cognitive architectures,P. Ivanov; Z. Nagoev; I. Pshenokova; D. Tokmakova,10.1109/WICT.2015.7489658,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7489658,2015.0,IEEE Conferences,The article provides a theoretical basis of multi-agent recursive cognitive architectures as a distributed intelligent system of decision-making and control of an ambient intelligence system. It i...,IEEE Xplore,2015 5th World Congress on Information and Communication Technologies (WICT)
751,752,Adaptive Protective Relay Settings – A Vision to the Future,S. Mukherjee; M. Marshall; T. Smith; E. Piesciorvosky; I. Snyder; C. Sticht,10.1109/REPEC55671.2022.00013,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9799956,2022.0,IEEE Conferences,Adaptive relaying utilizes the continuously changing status of the power system as the basis for online adjustment of the power system relay settings. Fundamentally they are protection schemes tha...,IEEE Xplore,2022 IEEE Rural Electric Power Conference (REPC)
763,764,Optimal Energy Reserve Scheduling in Integrated Electricity and Gas Systems Considering Reliability Requirements,H. Hui; M. Bao; Y. Ding; Y. Yang; Y. Xue,10.35833/MPCE.2021.000028,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9584449,2022.0,SGEPRI Journals,"With the growing interdependence between the electricity system and the natural gas system, the operation uncertainties in either subsystem, such as wind fluctuations or component failures, could ...",IEEE Xplore,Journal of Modern Power Systems and Clean Energy
775,776,A Study of Biometric Identification and Verification System,Vandana; N. Kaur,10.1109/ICACITE51222.2021.9404735,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9404735,2021.0,IEEE Conferences,"Conventionally, the identification of users is performed using passwords and PIN numbers. However, due to the rapid changes in technology, these security measure's abuse and theft are also increas...",IEEE Xplore,2021 International Conference on Advance Computing and Innovative Technologies in Engineering (ICACITE)
789,790,Wearable haptic-based multi-modal teleoperation of field mobile manipulator for explosive ordnance disposal,Dongseok Ryu; Chang-Soon Hwang; Sungchul Kang; Munsang Kim; Jae-Bok Song,10.1109/SSRR.2005.1501246,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1501246,2005.0,IEEE Conferences,This paper describes a wearable multi-modal user interface design and its implementation for a teleoperated field robot system. Recently some teleoperated field robots are employed for hazard envi...,IEEE Xplore,"IEEE International Safety, Security and Rescue Rototics, Workshop, 2005."
815,816,Reliability Modeling and Assessment of Cyber Space in Cyber-Physical Power Systems,R. He; H. Xie; J. Deng; T. Feng; L. L. Lai; M. Shahidehpour,10.1109/TSG.2020.2982566,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9044394,2020.0,IEEE Journals,The information technology in a cyber-physical power system plays a significant role in quickly regulating the energy flow that can cope with the complexity of power system operation and control. ...,IEEE Xplore,IEEE Transactions on Smart Grid
1009,1010,Meta-control for Adaptive Cybersecurity in FUZZBUSTER,D. J. Musliner; S. E. Friedman; J. M. Rye; T. Marble,10.1109/SASO.2013.29,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6676509,2013.0,IEEE Conferences,"Modern cyber attackers use sophisticated, highly-automated vulnerability search and exploit development tools to find new ways to break into target computers. To protect against such threats, we a...",IEEE Xplore,2013 IEEE 7th International Conference on Self-Adaptive and Self-Organizing Systems
1016,1017,Integrating changes to a hierarchical policy model,S. Hinrichs,10.1109/INM.2005.1440815,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1440815,2005.0,IEEE Conferences,Cisco's VPN and security management system (VMS) is based on a hierarchical security policy model. Customers have found this hierarchical composition policy model a clear and succinct form for exp...,IEEE Xplore,"2005 9th IFIP/IEEE International Symposium on Integrated Network Management, 2005. IM 2005."
1024,1025,Fusion of Multi-Modal Credentials for Authentication in Digital Identity Management Systems,J. Phiri; J. I. Agbinya,10.1109/AUSWIRELESS.2007.34,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4299669,2007.0,IEEE Conferences,"The recent years have seen an increase in identity fraud and accessing online services when communication devices such as computers, mobile phones and card based credentials (e.g. credit cards) ar...",IEEE Xplore,The 2nd International Conference on Wireless Broadband and Ultra Wideband Communications (AusWireless 2007)
1085,1086,A Conception of Prospects for Application of Edge Computing Technology in Equipment Support,J. Pan; J. Han; K. Qin; P. Xu,10.1109/ICAIBD57115.2023.10206250,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10206250,2023.0,IEEE Conferences,"Edge computing is a new computing model that is different from the traditional cloud computing model. It helps to relieve the pressure on the network bandwidth and cloud computing center, reduce t...",IEEE Xplore,2023 6th International Conference on Artificial Intelligence and Big Data (ICAIBD)
1128,1129,A Novel Paradigm: Cloud-Fog Integrated IoT Approach,S. K. Dwivedi; J. Yadav; S. A. Ansar; M. W. Khan; D. Pandey; R. A. Khan,10.1109/ICCAKM54721.2022.9990519,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9990519,2022.0,IEEE Conferences,"The recent age of cloud computing (CC) has witnessed significant breakthroughs, notably in IoT (Internet of Things), Edge computing, Fog computing, 5G, and subsequently 6G technology. CC allows in...",IEEE Xplore,"2022 3rd International Conference on Computation, Automation and Knowledge Management (ICCAKM)"
1181,1182,Sentinel: A Multi-institution Enterprise Scale Platform for Data-driven Cybersecurity Research,A. Nottingham; M. Buchanan; M. Gardner; J. Hiser; J. Davidson,10.1109/ISSREW55968.2022.00075,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9985118,2022.0,IEEE Conferences,"Current cybersecurity research is constrained by the general scarcity of large, realistic, labeled network traffic datasets. To address said scarcity, this paper introduces Sentinel: a multi-enter...",IEEE Xplore,2022 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW)
1248,1249,Tracking multiple three-dimensional motions by using modified condensation algorithm and multiple images,K. Hamasaki; T. Nakajima; T. Okatani; K. Deguchi,10.1109/IROS.2003.1250634,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1250634,2003.0,IEEE Conferences,In this paper we present a system for tracking objects' 3D motions by using sampling algorithm. The system consists of three cameras and 1 PC. We modified the condensation algorithm [M.A. Isard et...,IEEE Xplore,Proceedings 2003 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS 2003) (Cat. No.03CH37453)
1282,1283,Fault Detection of LLE Compound Statistic Based on Weighted K-nearest Neighbor Selection,H. Gu; P. Qian; L. Wang; K. Cao,10.1109/CAC48633.2019.8997239,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8997239,2019.0,IEEE Conferences,"Complex chemical process has the characteristics of nonlinear and multi-mode, so the on-line monitoring is of great significance to the system security. Based on a large number of industrial proce...",IEEE Xplore,2019 Chinese Automation Congress (CAC)
1285,1286,Development Process and Hot Spot Analysis of Object Detection Based on Mapping Knowledge Domains,J. Xiang,10.1109/ICCASIT53235.2021.9633393,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9633393,2021.0,IEEE Conferences,"The object detection technology undergoes rapid development, has been widely used in the fields of transportation, medical treatment, Internet security etc., and has received extensive attention f...",IEEE Xplore,2021 IEEE 3rd International Conference on Civil Aviation Safety and Information Technology (ICCASIT)
1337,1338,Improving Virtualization in the Presence of Software Managed Translation Lookaside Buffers,"Chang X,Franke H,Ge Y,Liu T,Wang K,Xenidis J,Chen F,Zhang Y",10.1145/2485922.2485933,https://doi.org/10.1145/2485922.2485933;http://dx.doi.org/10.1145/2485922.2485933,2013,Conference Paper,"Virtualization has become an important technology that is used across many platforms, particularly servers, to increase utilization, multi-tenancy and security. Virtualization introduces additiona...",ACM Digital Library,Proceedings of the 40th Annual International Symposium on Computer Architecture
1347,1348,Prediction of the Domain Name System (DNS) Quality Attributes,"Radwan M,Heckel R",10.1145/3019612.3019728,https://doi.org/10.1145/3019612.3019728;http://dx.doi.org/10.1145/3019612.3019728,2017,Conference Paper,"The Domain Name System (DNS) has a direct impact on the performance and dependability of nearly all aspects of interactions on the Internet. DNS relies on a delegation-based architecture, where re...",ACM Digital Library,Proceedings of the Symposium on Applied Computing
1394,1395,A Bottom-Up Approach to Teaching Server-Side Web Development Skills (Abstract Only),Ortiz A,10.1145/2676723.2691922,https://doi.org/10.1145/2676723.2691922;http://dx.doi.org/10.1145/2676723.2691922,2015,Conference Paper,"When dealing with the topic of back-end programming many CS web development courses typically focus on how to use a popular web framework, for example Spring MVC or Ruby on Rails. The problem with...",ACM Digital Library,Proceedings of the 46th ACM Technical Symposium on Computer Science Education
1460,1461,Adaptive Security and Cyber Assurance for Risk-Based Decision Making,"Brooks, Tyson T. (55377952200)",10.4018/978-1-6684-7766-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85157962996&doi=10.4018%2f978-1-6684-7766-3&partnerID=40&md5=7a2d1c555f47a29f48c7515a4e0e8b74,2023,Book,Cyber-professionals recognize that some defensive measures could exacerbate cyber-defense challenges by motivating attackers to adapt-unintentionally inspiring attackers to develop more potent and...,Scopus,Adaptive Security and Cyber Assurance for Risk-Based Decision Making
1488,1489,Autoencoder-Based Collaborative Attention GAN for Multi-Modal Image Synthesis,"Cao, Bing (57204475892); Cao, Haifang (58281282700); Liu, Jiaxu (58280598400); Zhu, Pengfei (35779388800); Zhang, Changqing (56313466500); Hu, Qinghua (7403214664)",10.1109/TMM.2023.3274990,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159812209&doi=10.1109%2fTMM.2023.3274990&partnerID=40&md5=178f2c5e515d502c9da0fae104bc6329,2023,Article,"Multi-modal images are required in a wide range of practical scenarios, from clinical diagnosis to public security. However, certain modalities may be incomplete or unavailable because of the rest...",Scopus,IEEE Transactions on Multimedia
1490,1491,Deep multimodal representation learning for generalizable person re-identification,"Xiang, Suncheng (57193625126); Chen, Hao (57218309973); Ran, Wei (57218602527); Yu, Zefang (57216317706); Liu, Ting (55727716700); Qian, Dahong (57188691661); Fu, Yuzhuo (21933259100)",10.1007/s10994-023-06352-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164196516&doi=10.1007%2fs10994-023-06352-7&partnerID=40&md5=3aa8fbcc957108d878d76d78294f3ca2,2023,Article,"Person re-identification plays a significant role in realistic scenarios due to its various applications in public security and video surveillance. Recently, leveraging the supervised or semi-unsu...",Scopus,Machine Learning
1509,1510,State Identification of Power System Based on Visual Geometric Group Network,"Yang, Jing (57219210946); Meng, Runquan (35220273600)",10.1088/1742-6596/2527/1/012081,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166477317&doi=10.1088%2f1742-6596%2f2527%2f1%2f012081&partnerID=40&md5=516b689de99ea0fff36974bf644dfbfb,2023,Conference paper,Accurate and timely identification of power system operation states are requisite for taking control strategies and ensuring power system security. With the high grid penetration of renewable ener...,Scopus,Journal of Physics: Conference Series
1544,1545,Evaluation and Adjustment Based on Broad Learning System for Small Signal Stability Analysis of Power System Integrated with Wind Farms,"Yang, Yu-De (24177885600); Yao, Wen-Jing (57701770200); Yang, Li-Zhen (57479163300)",10.1007/s42835-022-01111-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130460010&doi=10.1007%2fs42835-022-01111-5&partnerID=40&md5=5b43f1a4c18f9db3ec8ca5044a65aeab,2022,Article,This paper primarily focuses on evaluation and adjustment methods for small signal analysis with wind farm integration. The connection of wind farms may affect the original oscillation modes of th...,Scopus,Journal of Electrical Engineering and Technology
1673,1674,Observer-Based Adaptive Security Control for Network Control Systems Under TDS Actuator Attacks,"Wang, Liang (57983000200); Zhao, Ping (57220868596)",10.1007/978-981-19-6142-7_38,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142667756&doi=10.1007%2f978-981-19-6142-7_38&partnerID=40&md5=fd722b9d89271baa6da7f2bbd932b39b,2022,Conference paper,"Networked control systems (NCS) have been used widely in many practical fields. The communication connection in NCS allows agents to communicate with each other quickly, which can quickly respond ...",Scopus,Communications in Computer and Information Science
1700,1701,CONDITIONAL RGB-T FUSION FOR EFFECTIVE CROWD COUNTING,"Pahwa, Esha (57417427200); Kapadia, Sanjeet (57417383600); Luthra, Achleshwar (57345945500); Sheeranali, Shreyas (58073761500)",10.1109/ICIP46576.2022.9897548,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146657719&doi=10.1109%2fICIP46576.2022.9897548&partnerID=40&md5=14a734acd52a1b6f12f13941b1348523,2022,Conference paper,"A robust and efficient crowd counting framework forms a vital step towards the analysis of a crowded scene and finds its applications in social distance monitoring, traffic management, and video s...",Scopus,"Proceedings - International Conference on Image Processing, ICIP"
1711,1712,State Estimation of Intelligent Distribution Network Based on Data Fusion,"Li, Daoyu (57477490900); Sun, Yuanyuan (55737770800); Yuan, Lintao (57477490800); Wang, Chao (57889981500); An, Peng (57210688960); Pang, Yanqing (57297103000)",10.1007/978-981-19-1922-0_43,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137998265&doi=10.1007%2f978-981-19-1922-0_43&partnerID=40&md5=361be5c115fe0fd4029232fd512e35c1,2022,Conference paper,Higher information processing needs have been brought about by the development of smart grids. In order to solve the problem that there are many types of existing intelligent measurement terminals...,Scopus,Lecture Notes in Electrical Engineering
1755,1756,The Application of Beidou and Ultra-Broadband Positioning Technology in the Power Security Protection System,"Yang, Yu-qing (57549259000); Miao, Wei-wei (57192541666); Zeng, Zeng (57876478700)",10.1007/978-981-19-0852-1_13,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127020452&doi=10.1007%2f978-981-19-0852-1_13&partnerID=40&md5=9fb15885f8fe05775248624e0e06c0e9,2022,Conference paper,"In the Beidou positioning system, due to the obstruction of obstacles, the indoor is often unable to obtain positioning information. For this case, a scheme based on Beidou indoor and outdoor inte...",Scopus,Communications in Computer and Information Science
1772,1773,Template security scheme for multimodal biometrics using data fusion technique,"Bokade, Gayatri U. (57215307258); Kanphade, Rajendra D. (24174635600)",10.1504/IJBM.2022.121801,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128743982&doi=10.1504%2fIJBM.2022.121801&partnerID=40&md5=c49d976c134dae7a29a5ca9fb2072d0f,2022,Article,The emerging demand of biometric technology across the globe has given rise to the development of various biometric systems involving multiple traits. The multimodal biometric authentication syste...,Scopus,International Journal of Biometrics
1838,1839,Enabling self-adaptability of small scale and large scale security systems using dynamic partial reconfiguration,"Manjith, B.C. (57204588175); Dhanalakshmi, R. (57207592243)",10.1007/s12652-020-02658-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096334533&doi=10.1007%2fs12652-020-02658-9&partnerID=40&md5=c54353705ed902ffa4ee6bce01749fb1,2021,Article,"The application areas of field programmable gate arrays (FPGAs) are increasing due to its hardware acceleration and reprogrammable features. From large-scale computation systems like cloud, aerosp...",Scopus,Journal of Ambient Intelligence and Humanized Computing
1861,1862,Continuous auditing and threat detection in multi-cloud infrastructure,"Torkura, K.A. (57188671884); Sukmana, Muhammad I.H. (57193575858); Cheng, Feng (35271162300); Meinel, Christoph (56187776800)",10.1016/j.cose.2020.102124,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098136177&doi=10.1016%2fj.cose.2020.102124&partnerID=40&md5=6e87bf564ea746518cc3c2419a72b9dd,2021,Article,Efficient change control and configuration management is imperative for addressing the emerging security threats in cloud infrastructure. These threats majorly exploit misconfiguration vulnerabili...,Scopus,Computers and Security
1951,1952,Multi-source Anomaly Detection in Distributed IT Systems,"Bogatinovski, Jasmin (57217014567); Nedelkoski, Sasho (57195837657)",10.1007/978-3-030-76352-7_22,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111402590&doi=10.1007%2f978-3-030-76352-7_22&partnerID=40&md5=89629ed2c30fdccb7cce29e815a23f24,2021,Conference paper,"The multi-source data generated by distributed systems, provide a holistic description of the system. Harnessing the joint distribution of the different modalities by a learning model can be benef...",Scopus,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)
1953,1954,Detecting Portable Executable Malware by Binary Code Using an Artificial Evolutionary Fuzzy LSTM Immune System,"Jiang, Jian (57224502024); Zhang, Fen (57226324595)",10.1155/2021/3578695,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111161221&doi=10.1155%2f2021%2f3578695&partnerID=40&md5=11f698c3f1ce62f39111dda1b6313f30,2021,Article,"As the planet watches in shock the evolution of the COVID-19 pandemic, new forms of sophisticated, versatile, and extremely difficult-to-detect malware expose society and especially the global eco...",Scopus,Security and Communication Networks
1989,1990,Multimodal self-assessed personality prediction in the wild,"Kamisaka, Daisuke (24331804600); Ishikawa, Yuichi (56824926900)",10.1145/3395035.3425260,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099195956&doi=10.1145%2f3395035.3425260&partnerID=40&md5=f3f0fe64b4885bd6ce67c930db438deb,2020,Conference paper,"Personality is an essential human attribute, and plays an important role for personalization of face-to-face services that improves sales and customer satisfaction in a variety of different busine...",Scopus,ICMI 2020 Companion - Companion Publication of the 2020 International Conference on Multimodal Interaction
2046,2047,An Adaptive Security Data Collection and Composition Recognition method for security measurement over LTE/LTE-A networks,"Fu, Yulong (57190983692); Chen, Hanlu (57192006982); Zheng, Qinghua (56113889000); Yan, Zheng (56517487500); Kantola, Raimo (6603838260); Jing, Xuyang (57192208722); Cao, Jin (55124800000); Li, Hu...",10.1016/j.jnca.2020.102549,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079237087&doi=10.1016%2fj.jnca.2020.102549&partnerID=40&md5=53f0c334437fe4c5230563484a1e233f,2020,Article,"With the development of wireless communications, Mobile Networks have become an important part of our daily life and fueled the growth of many attractive technologies such as 5G, Internet of Thing...",Scopus,Journal of Network and Computer Applications
2070,2071,Security-reliability tradeoff for multi-terminal multi-mode coexisting systems in the presence of multiple eavesdroppers,"Ding, Xiaojin (57188965800); Ding, Fei (35217477600); Chen, Xiaoshu (57203885369); Wang, Xiaojun (57826453500)",10.1049/iet-com.2019.0117,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084933231&doi=10.1049%2fiet-com.2019.0117&partnerID=40&md5=030cc6f579ea1f9ea7f9f4397e31f08a,2020,Article,"In this study, the authors explore a wireless network consisting of multiple smart terminals relying on multi-mode in the presence of an eavesdropper, where the eavesdropper may be deployed to wir...",Scopus,IET Communications
2182,2183,A robust single-sensor face and iris biometric identification system based on multimodal feature extraction network,"Luo, Zhengding (57215531996); Gu, Qinghua (57215532794); Qi, Gege (57215535895); Liu, Song (57215534919); Zhu, Yuesheng (55453293800); Bai, Zhiqiang (54582152200)",10.1109/ICTAI.2019.00-95,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081092274&doi=10.1109%2fICTAI.2019.00-95&partnerID=40&md5=d616685c2f961242d37e44568b63e35c,2019,Conference paper,"Joint face-iris identification can integrate complementary information from face and iris to fulfill the requirement of performance improvement and security. However, most of the current face-iris...",Scopus,"Proceedings - International Conference on Tools with Artificial Intelligence, ICTAI"
2186,2187,Multi-modal multi-layer fusion network with average binary center loss for face anti-spoofing,"Kuang, Huafeng (57215280616); Ji, Rongrong (23134935200); Liu, Hong (57192389201); Zhang, Shengchuan (56647102100); Sun, Xiaoshuai (24278895900); Zhang, Baochang (55791583300); Huang, Feiyue (5645...",10.1145/3343031.3351001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074865538&doi=10.1145%2f3343031.3351001&partnerID=40&md5=83fb2d993be7a789cf1b2396ba0bd1c8,2019,Conference paper,"Face anti-spoofing detection is critical to guarantee the security of biometric face recognition systems. Despite extensive advances in facial anti-spoofing based on single-model image, little wor...",Scopus,MM 2019 - Proceedings of the 27th ACM International Conference on Multimedia
2226,2227,Adaptively secure anonymous identity-based broadcast encryption for data access control in cloud storage service,"Chen, Liqing (23767050700); Li, Jiguo (26661714200); Zhang, Yichen (7601317493)",10.3837/tiis.2019.03.023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065575241&doi=10.3837%2ftiis.2019.03.023&partnerID=40&md5=2976e6206b3c3173a08df976fc2132b5,2019,Article,Cloud computing is now a widespread and economical option when data owners need to outsource or share their data. Designing secure and efficient data access control mechanism is one of the most ch...,Scopus,KSII Transactions on Internet and Information Systems
2262,2263,Understanding the Evolution of Ransomware: Paradigm Shifts in Attack Structures,"Zimba, Aaron (57193826183); Chishimba, Mumbi (57203412062)",10.5815/ijcnis.2019.01.03,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084748060&doi=10.5815%2fijcnis.2019.01.03&partnerID=40&md5=56542e89ad848e6b02af6ca52517cf03,2019,Article,The devasting effects of ransomware have continued to grow over the past two decades which have seen ransomware shift from just being opportunistic attacks to carefully orchestrated attacks. Indiv...,Scopus,International Journal of Computer Network and Information Security
2320,2321,Multimodal biometrics system using feature-level fusion of iris and fingerprint,"Khoo, Yik-Herng (57204671574); Goi, Bok-Min (6508137561); Chai, Tong-Yuen (40661042200); Lai, Yen-Lung (57188928420); Jin, Zhe (8563659400)",10.1145/3239576.3239599,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056614609&doi=10.1145%2f3239576.3239599&partnerID=40&md5=dee9d8f22a466ab181230fd3afadce4f,2018,Conference paper,"Biometrics system had been widely implemented in our daily life applications. With continuous improvement in biometrics recognition performance, biometrics security hence becomes an important topi...",Scopus,ACM International Conference Proceeding Series
2334,2335,A Progressive Vehicle Search System for Video Surveillance Networks,"Liu, Xinchen (56431458100); Liu, Wu (55145372400); Ma, Huadong (7403096223); Li, Shuangqun (57192989695)",10.1109/BigMM.2018.8499096,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057106411&doi=10.1109%2fBigMM.2018.8499096&partnerID=40&md5=20c3ada5e7e58701c6f669a35a94fd48,2018,Conference paper,"Vehicle search aims to find a specific vehicle appeared in the physical world through surveillance networks. Existing systems usually exploit attributes, like colors and types, or license plate nu...",Scopus,"2018 IEEE 4th International Conference on Multimedia Big Data, BigMM 2018"
