,id,title,authors,doi,link,pub_year,type,abstract,source,pub_title
531,532,User interface for network operations in energy control centers,F. J. Trefny; L. B. Agrawal; L. E. Honnoll; P. A. Mosi,10.1109/59.466540,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=466540,1995.0,IEEE Journals,"Since the early 1970s, electric utilities have included transmission network evaluation tools in their energy control center application. Originally, these tools were very limited, but in recent years have expanded to include optimal power flow, advanced security analysis and remedial action software. Although these codes have been successfully installed and demonstrated, very little actual use has occurred because of the limitations in the user interface and facilities to easily update the operational status of the devices in the model. System operator's acceptance of advanced network functions and integration into their daily work functions has been accomplished at Houston Lighting and Power Company (HL&P) by redesigning the user interface and many of the associated systems needed to provide the correct operating state to the network models. This paper provides insights into the applications and how they were modified to simplify the user interface. The paper describes a standard by which the success of the user interface and the completeness of the automatic update to models can be measured. The paper includes a list of power system dispatcher task assignments and concludes with a survey of the benefits HL&P has obtained from power system operator use of network applications functions.<>",IEEE Xplore,IEEE Transactions on Power Systems
577,578,Energy-aware adaptive security management for wireless sensor networks,E. Nigussie; A. Hakkala; S. Virtanen; J. Isoaho,10.1109/WoWMoM.2014.6919023,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6919023,2014.0,IEEE Conferences,"We present a work in progress of an adaptive security management scheme for wireless sensor networks. The unique characteristics of these networks place great demands on their design and operation in terms of resource and security management. Resource and security adaptability achieved through self- and context-awareness will take the feasibility of the networks to a new level. The scheme has self- and context-awareness in addition to a holistic view of security services at each layer of the communication stack. It uses distributed agents and intrusion detection systems to monitor the security threats and then dynamically adapts its security level by jointly considering several dimensions. This translates into optimal security-energy under a given resource and context. The key dimensions are energy budget, computing power and memory size of nodes, location-based security threat levels, data coherence, and data lifetime. Trust management is used to test the integrity of untrusted nodes which further assist the adaptation decision.",IEEE Xplore,"Proceeding of IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks 2014"
618,619,"A Framework for Design, Verification, and Management of SoC Access Control Systems",F. Restuccia; A. Meza; R. Kastner; J. Oberg,10.1109/TC.2022.3209923,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9904916,2023.0,IEEE Journals,"System-on-chip (SoC) architectures are a heterogeneous mix of microprocessors, custom accelerators, memories, interfaces, peripherals, and other resources. These resources communicate using complex on-chip interconnect networks that attempt to quickly and efficiently arbitrate memory transactions whose behaviors can vary drastically depending on the current mode of operation and system operating state. Security- and safety-critical applications require access control policies that define how these resources interact to ensure that malicious and unsafe behaviors do not occur. Aker is a design and verification framework for on-chip access control. The core of Aker is the access control wrapper (ACW)–a high-performance yet efficient hardware module that dynamically arbitrates on-chip communications. Aker distributes ACWs across the SoC and programs them to perform local access control. Aker provides a firmware generation tool and a property-driven security verification methodology to ensure that the ACWs are properly integrated and configured. Aker security verification confirms that the ACW behaves properly at IP level. It verifies the hardware root of trust firmware configures the ACW correctly. And it evaluates system-level security threats due to interactions between shared resources. Aker is experimentally validated on a Xilinx UltraScale+ programmable SoC. Additionally, an Aker access control system is integrated into the OpenPULP multicore archtiecture that uses OpenTitan hardware root-of-trust for firmware configuration.",IEEE Xplore,IEEE Transactions on Computers
638,639,Adaptive security provision for increased energy efficiency in Wireless Sensor Networks,M. Younis; N. Krajewski; O. Farrag,10.1109/LCN.2009.5355022,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5355022,2009.0,IEEE Conferences,"This paper introduces a novel optimization strategy for increasing the resource efficiency and security of data routing in a wireless sensor network. Most secure routing schemes found in the literature provision security at the highest level by involving sophisticated data encryption with a large key. This imposes lots of overhead both in computation, while performing the encryption and decryption, and in communication due to bit padding. The proposed optimization approach strives to adapt the security measures to the trust level on the nodes on the path and factors in the security-related overhead in the link cost. In addition, a novel path rotation scheme is proposed to enable the use of resource-efficient security measures without risking an increase in vulnerability. The applicability of the proposed optimization is validated using the ad hoc on-demand multipath distance vector (AOMDV) routing protocol and its performance advantage is confirmed via ns2 simulation experiments.",IEEE Xplore,2009 IEEE 34th Conference on Local Computer Networks
794,795,Integrating Multi-Modal Circuit Features within an Efficient Encryption System,E. Papoutsis; G. Howells; A. Hopkins; K. McDonald-Maier,10.1109/IAS.2007.27,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4299755,2007.0,IEEE Conferences,"The problem of the incorporation of pattern features with unusual distributions is well known within pattern recognition systems even if not easily addressed. The problem is more acute when features are derived from characteristics of given integrated electronic circuits. The current paper introduces novel efficient techniques for normalising sets of features which are highly multi-modal in nature, so as to allow them to be incorporated within a single encryption key generation system based primarily on measured hardware characteristics. The utility of the proposed system lies in the observation that the need for data sent to and from remote network nodes to be secure and verified is substantial. Security can be improved by using encryption techniques based on keys, which are based on unique properties of the individual nodes within the network. This will serve both to minimize the need for key storage and sharing as well as to validate the initiator node of a message.",IEEE Xplore,Third International Symposium on Information Assurance and Security
830,831,Analysis and Research on Security Protection and Control of Intelligent Substation Based on Visualization Technology,X. Wang; Y. Gao; Y. Tao; H. Zheng,10.1109/ICICTA49267.2019.00131,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9017115,2019.0,IEEE Conferences,"Under the impetus of science and technology, the construction of smart grid has become an important development goal of China's power industry. Substation is an important part of power grid. Strengthening research on relay safety protection and control of intelligent substation is conducive to improving the quality of power transmission and distribution. Power users provide safe and efficient power services. The intelligent substation has changed the operation mode of the traditional substation and put forward higher requirements for the relay safety protection device. This paper briefly summarizes the concept of intelligent substation and visualization technology, analyzes the status quo and problems of relay safety protection in intelligent substation, and discusses the function and analysis scheme of relay safety protection and control system based on visualization technology. The visualization technology is applied to the relay safety protection and control system of the intelligent substation. Through continuous technical improvement, the intelligent substation relay protection system realizes the fault visualization, which can realize the visual analysis of the fault and effectively improve the operating state of the power equipment, thereby improving The ability of relay safety devices to protect the entire power system.",IEEE Xplore,2019 12th International Conference on Intelligent Computation Technology and Automation (ICICTA)
861,862,Secured remote configuration approach for industrial cyber-physical systems,T. Ulz; T. Pieber; C. Steger; S. Haas; R. Matischek,10.1109/ICPHYS.2018.8390811,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8390811,2018.0,IEEE Conferences,"Facilitating remote updates of configuration parameters for industrial cyber-physical systems (ICPSs) is an emerging requirement due to interconnected production facilities. However, allowing remote configuration changes entail the following security issues. Malicious configuration updates through unprotected configuration interfaces can physically harm the ICPS or the respective process, and even threaten human lives. Also, for configuration interfaces to be remotely accessible, corporate networks need to be configured accordingly to provide access possibilities. Such additional access possibilities might then be used by adversaries when attacking corporate networks and thus, are often seen as a security weakness. If ICPS are not updated, outdated configurations also lead to security weaknesses. To mitigate these issues, we present a secured remote configuration approach for ICPS that protects the configuration interface as well as configuration data. The approach utilizes appropriate security measures and is realized as external configuration update module to allow easy verification of ongoing update processes.",IEEE Xplore,2018 IEEE Industrial Cyber-Physical Systems (ICPS)
905,906,Hybrid Optimization Enabled Robust CNN-LSTM Technique for Network Intrusion Detection,B. Deore; S. Bhosale,10.1109/ACCESS.2022.3183213,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9796521,2022.0,IEEE Journals,"Nowadays, computer networks and the Internet are unprotected from many security threats. Introducing adaptive and flexible security-related techniques is challenging because of the new types of frequently occurring attacks. An intrusion detection system (IDS) is a security device similar to other measures, including firewalls, antivirus software, and access control models devised to strengthen communication and information security. Network intrusion detection system (NIDS) plays a vital function in defending computer networks and systems. However, several issues concerning the sustainability and feasibility of existing techniques are faced with recent networks. These concerns are directly related to the rising levels of necessary human interactions and reducing the level of detection accuracy. Several approaches are designed to detect and manage various security threats in a network. This study uses Chimp Chicken Swarm Optimization-based Deep Long Short-Term Memory (ChCSO-driven Deep LSTM) for the intrusion detection process. A CNN feature extraction process is necessary for effective intrusion detection. Here, the Deep LSTM is applied for detecting network intrusion, and the Deep LSTM is trained using a designed optimization technique to enhance the detection performance.",IEEE Xplore,IEEE Access
939,940,On the Performance and Scalability of Simulators for Improving Security and Safety of Smart Cities,A. Mohsin; S. Aurangzeb; M. Aleem; M. T. Khan,10.1109/ETFA52439.2022.9921600,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9921600,2022.0,IEEE Conferences,"Simulations have gained paramount importance in terms of software development for wireless sensor networks and have been a vital focus of the scientific community in this decade to provide efficient, secure, and safe communication in smart cities. Network Simulators are widely used for the development of safe and secure communication architectures in smart city. Therefore, in this technical survey report, we have conducted experimental comparisons among ten different simulation environments that can be used to simulate smart-city operations. We comprehensively analyze and compare simulators COOJA, NS-2 with framework Mannasim, NS-3, OMNeT++ with framework Castalia, WSNet, TOSSIM, J-Sim, GloMoSim, SENSE, and Avrora. These simulators have been run eight times each and comparison among them is critically scrutinized. The main objective behind this research paper is to assist developers and researchers in selecting the appropriate simulator against the scenario to provide safe and secure wired and wireless networks. In addition, we have discussed the supportive simulation environments, functions, and operating modes, wireless channel models, energy consumption models, physical, MAC, and network-layer protocols in detail. The selection of these simulation frameworks is based on features, literature, and important characteristics. Lastly, we conclude our work by providing a detailed comparison and describing the pros and cons of each simulator.",IEEE Xplore,2022 IEEE 27th International Conference on Emerging Technologies and Factory Automation (ETFA)
1073,1074,WRDI: A Multimodal Dataset of mmWave Radar Data and Image,Z. Wang; C. Jin; L. Sun; Y. Li,10.1109/BigData52589.2021.9671545,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9671545,2021.0,IEEE Conferences,"Security monitoring system based on mmWave radar and image data fusion can achieve real-time, high-sensitivity object detection throughout the day, and effectively filter out fake objects. The lack of a comprehensive mmWave radar and image multimodal dataset has always been a bottleneck in developing robust object detection and tracking models for security monitoring system. To fill this gap, we propose a mmWave radar data and image multimodal dataset (WRDI) with 5000 frames. To the best of our knowledge, this is the first comprehensive mmWave radar and image multimodal dataset for security monitoring field.",IEEE Xplore,2021 IEEE International Conference on Big Data (Big Data)
1097,1098,"Biometric for home environment challenges, modalities and applications",A. Rabie; U. Handmann,10.1109/WCITCA.2015.7367059,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7367059,2015.0,IEEE Conferences,"Utilizing biometric traits for privacy-and security-applications is receiving an increasing attention. Applications such as personal identification, access control, forensics applications, e-banking, e-government, e-health and recently personalized human-smart-home and human-robot interaction present some examples. In order to offer person-specific services for/of specific person a pre-identifying step should be done in the run-up. Using biometric in such application is encountered by diverse challenges. First, using one trait and excluding the others depends on the application aimed to. Some applications demand directly touch to biometric sensors, while others don't. Second challenge is the reliability of used biometric arrangement. Civilized application demands lower reliability comparing to the forensics ones. And third, for biometric system could only one trait be used (uni-modal systems) or multiple traits (Bi-or Multi-modal systems). The latter is applied, when systems with a relative high reliability are expected. The main aim of this paper is providing a comprehensive view about biometric and its application. The above mentioned challenges will be analyzed deeply. The suitability of each biometric sensor according to the aimed application will be deeply discussed. Detailed comparison between uni-modal and Multi-modal biometric system will present which system where to be utilized. Privacy and security issues of biometric systems will be discussed too. Three scenarios of biometric application in home-environment, human-robot-interaction and e-health will be presented.",IEEE Xplore,2015 World Congress on Information Technology and Computer Applications (WCITCA)
1144,1145,Radial Voltage Stability,D. Sutanto; W. R. Lachs,10.1109/TENCON.1991.712585,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=712585,1991.0,IEEE Conferences,"Radial voltage stability poses problems for power system planners and operators. This paper presents methods and aids which can meet the quite distinct needs of both planners and operators, with an emphasis on the practical aspects of the problem. An actual disturbance is described in which the first phase was due to system voltage instability, and subsequent events are due to radial voltage instability effects. The instructions available to the operators were not adequate for the situations they faced. Without using the approach described in the paper, it took them an hour and continuing difficulties before they could reach an acceptable operating state.",IEEE Xplore,"TENCON '91. Region 10 International Conference on EC3-Energy, Computer, Communication and Control Systems"
1245,1246,A Cross-Layer Green Information-Centric Networking Design Toward the Energy Internet,Q. N. Nguyen; R. Ullah; B. -S. Kim; R. Hassan; T. Sato; T. Taleb,10.1109/TNSE.2022.3148146,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9705154,2022.0,IEEE Journals,"To address the energy-efficiency issue in Information-Centric Networking (ICN), this article proposes a novel Green ICN design, which adapts the power consumption of network nodes to the optimized utilization level proportionally. By learning over the consumers’ interactive data traffic pattern/behavior, we introduce a new concept of cross-layer power adaption conducted through dynamically adjusting link rate corresponding to content popularity to reduce the wasteful power consumption of Content Routers (CRs). We also develop a controlling policy for each content provider to map its status to the most suitable operating mode to diminish power consumption. Moreover, we propose a smart Selective Caching Scheme (SCS) so that the caching portion in a CR's cache memory is adjusted according to content popularity and available spaces of two customized content cache spaces, namely hot and cold caching queues, for storing popular and unpopular content objects. This scheme can further decrease the power from caching since it is diminished when the traffic load is reduced via the proposed CRs' adaptive mechanism. The evaluation results with practical insights in several distinct scenarios show that the proposal can provide considerably higher energy efficiency and network performance at the same time, typically achieving at least 20% power-saving with a higher hop reduction ratio, compared to existing Internet designs with relevant state-of-the-art caching strategies.",IEEE Xplore,IEEE Transactions on Network Science and Engineering
1257,1258,UBSegNet: Unified Biometric Region of Interest Segmentation Network,R. R. Jha; D. Thapar; S. M. Patil; A. Nigam,10.1109/ACPR.2017.148,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8575946,2017.0,IEEE Conferences,"Digital human identity management, can now be seen as a social necessity, as it is essentially required in almost every public sector such as, financial inclusions, security, banking, social networking e.t.c. Hence, in today's rampantly emerging world with so many adversarial entities, relying on a single biometric trait is being too optimistic. In this paper, we have proposed a novel end-to-end, Unified Biometric ROI Segmentation Network (U BSegN et), for extracting region of interest from five different biometric traits viz. face, iris, palm, knuckle and 4-slap fingerprint. The architecture of the proposed U BSegN et consists of two stages: (i) Trait classification and (ii) Trait localization. For these stages, we have used a state of the art region based convolutional neural network (RCNN), comprising of three major parts namely convolutional layers, region proposal network (RPN) along with classification and regression heads. The model has been evaluated over various huge publicly available biometric databases. To the best of our knowledge this is the first unified architecture proposed, segmenting multiple biometric traits. It has been tested over around 5000 * 5 = 25, 000 images (5000 images per trait) and produces very good results. Our work on unified biometric segmentation, opens up the vast opportunities in the field of multiple biometric traits based authentication systems.",IEEE Xplore,2017 4th IAPR Asian Conference on Pattern Recognition (ACPR)
1273,1274,Tracklet and Signature Representation for Multi-Shot Person Re-Identification,S. Baabou; F. M. Khan; F. Bremond; A. Ben Fradj; M. Amine Farah; A. Kachouri,10.1109/SSD.2018.8570441,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8570441,2018.0,IEEE Conferences,"Video surveillance has become more and more important in many domains for their security and safety. Person Re-Identification (Re-ID) is one of the most interesting subjects in this area. The Re-ID system is divided into two main stages: i) extracting feature representations to construct a person's appearance signature and ii) establishing the correspondence/matching by learning similarity metrics or ranking functions. However, appearance based person Re-Idis a challenging task due to similarity of human's appearance and visual ambiguities across different cameras. This paper provides a representation of the appearance descriptors, called signatures, for multi-shot Re-ID First, we will present the tracklets, i.e trajectories of persons. Then, we compute the signature and represent it based on the approach of Part Appearance Mixture (PAM). An evaluation of the quality of this signature representation is also described in order to essentially solve the problems of high variance in a person's appearance, occlusions, illumination changes and person's orientation/pose. To deal with variance in a person's appearance, we represent it as a set of multi-modal feature distributions modeled by Gaussian Mixture Model (GMM). Experiments and results on two public datasets and on our own dataset show good performance.",IEEE Xplore,"2018 15th International Multi-Conference on Systems, Signals & Devices (SSD)"
1274,1275,"Computer assisted spine surgery: A first step toward clinical, application in orthopaedics",P. Sautot; P. Cinquin; S. Lavallée; J. Troccaz,10.1109/IEMBS.1992.5761358,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5761358,1992.0,IEEE Conferences,"A system based on medical imaging and robot has been designed. It is intended to increase accuracy and security of surgical interventions, especially in surgery of the spine. To plan and perform the intervention multi-modal images and a guiding system are involved. A robot aligns a light beam with the previously defined surgical trajectory in order to assist the surgeon.",IEEE Xplore,1992 14th Annual International Conference of the IEEE Engineering in Medicine and Biology Society
1316,1317,AnyCall: Fast and Flexible System-Call Aggregation,"Gerhorst L,Herzog B,Reif S,Schröder-Preikschat W,Hönig T",10.1145/3477113.3487267,https://doi.org/10.1145/3477113.3487267;http://dx.doi.org/10.1145/3477113.3487267,2021,Conference Paper,"Operating systems rely on system calls to allow the controlled communication of isolated processes with the kernel and other processes. Every system call includes a processor mode switch from the unprivileged user mode to the privileged kernel mode. Although processor mode switches are the essential isolation mechanism to guarantee the system's integrity, they induce direct and indirect performance costs as they invalidate parts of the processor state. In recent years, high-performance networks and storage hardware has made the user/kernel transition overhead the bottleneck for IO-heavy applications. To make matters worse, security vulnerabilities in modern processors (e.g., Meltdown) have prompted kernel mitigations that further increase the transition overhead. To decouple system calls from user/kernel transitions we propose AnyCall, which uses an in-kernel compiler to execute safety-checked user bytecode in kernel mode. This allows for very fast system calls interleaved with error checking and processing logic using only a single user/kernel transition. We have implemented AnyCall based on the Linux kernel's extended Berkeley Packet Filter (eBPF) subsystem. Our evaluation demonstrates that system call bursts are up to 55 times faster using AnyCall and that real-world applications can be sped up by 24 % even if only a minimal part of their code is run by AnyCall.",ACM Digital Library,Proceedings of the 11th Workshop on Programming Languages and Operating Systems
