contentType,identifier,language,url/0/format,url/0/platform,url/0/value,url/1/format,url/1/platform,url/1/value,url/2/format,url/2/platform,url/2/value,title,creators/0/ORCID,creators/0/creator,creators/1/ORCID,creators/1/creator,creators/2/ORCID,creators/2/creator,bookEditors/0/bookEditor,bookEditors/1/bookEditor,bookEditors/2/bookEditor,bookEditors/3/bookEditor,bookEditors/4/bookEditor,bookEditors/5/bookEditor,bookEditors/6/bookEditor,publicationName,openaccess,doi,publisher,publisherName,publicationDate,publicationType,printIsbn,electronicIsbn,isbn,genre/0,onlineDate,seriesId,copyright,abstract,conferenceInfo/0/confSeriesName,conferenceInfo/0/confSeriesID/0/type,conferenceInfo/0/confSeriesID/0/value,conferenceInfo/0/confSeriesID/1/type,conferenceInfo/0/confSeriesID/1/value,conferenceInfo/0/confEventID/0/type,conferenceInfo/0/confEventID/0/value,conferenceInfo/0/confEventAbbreviation,conferenceInfo/0/confNumber,conferenceInfo/0/confEventLocation/0/locationType,conferenceInfo/0/confEventLocation/0/city,conferenceInfo/0/confEventLocation/0/country/0/code,conferenceInfo/0/confEventLocation/0/country/0/value,conferenceInfo/0/confEventDateStart/0/year,conferenceInfo/0/confEventDateStart/0/month,conferenceInfo/0/confEventDateStart/0/day,conferenceInfo/0/confEventDateEnd/0/year,conferenceInfo/0/confEventDateEnd/0/month,conferenceInfo/0/confEventDateEnd/0/day,conferenceInfo/0/confEventURL,conferenceInfo/0/confEventPeerReviewInformation/averageNumberOfPapersPerReviewer,conferenceInfo/0/confEventPeerReviewInformation/averageNumberOfReviewsPerPaper,conferenceInfo/0/confEventPeerReviewInformation/externalReviewersInvolved,conferenceInfo/0/confEventPeerReviewInformation/fullPapersAcceptanceRate,conferenceInfo/0/confEventPeerReviewInformation/fullPapersAccepted,conferenceInfo/0/confEventPeerReviewInformation/managementSystem,conferenceInfo/0/confEventPeerReviewInformation/shortPapersAccepted,conferenceInfo/0/confEventPeerReviewInformation/submissionsSentForReview,conferenceInfo/0/confEventPeerReviewInformation/type,conferenceInfo/0/confEventPeerReviewInformation/value,keyword/0,keyword/1,keyword/2,keyword/3,keyword/4,subjects/0,subjects/1,subjects/2,subjects/3,subjects/4,subjects/5,subjects/6,issn,eIssn,volume,number,issueType,topicalCollection,startingPage,endingPage,journalId,printDate,coverDate,keyword/5,keyword/6,bookEditors/7/bookEditor,bookEditors/8/bookEditor,creators/3/creator,genre/1,creators/4/creator,creators/5/creator,keyword/7,keyword/8,keyword/9,keyword/10,keyword/11,keyword/12,keyword/13,keyword/14,keyword/15,keyword/16,keyword/17
Chapter,doi:10.1007/978-3-030-88559-5_3,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-88559-5_3,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-3-030-88559-5_3,,,http://dx.doi.org/10.1007/978-3-030-88559-5_3,Taxonomy of Cyber Threats,,"Couretas, Jerry M.",,,,,,,,,,,,An Introduction to Cyber Analysis and Targeting,false,10.1007/978-3-030-88559-5_3,Springer,Springer International Publishing,2022-01-01,Book,978-3-030-88558-8,978-3-030-88559-5,978-3-030-88558-8,OriginalPaper Professional book,2022-01-19,,©2022 Springer Nature Switzerland AG,"Cyber threats span the attack cycle, and include both offensive and defensive elements. Several conceptual models help with describing the attack process and associated entities, in developing a taxonomy of cyber threats. For Example, the US National Institute of Standards and Technology (NIST) Cybersecurity Framework (CSF) helps to describe a system to manage cyber security risk. In addition, the Structured Threat Information Expression (STIX) and the Trusted Automated eXchange of Indicator Information (TAXII) are used to standardize indicator information into a form that will make the data sharable. This helps to structure the cyber threat intelligence (CTI) information in order to use it in defensive approaches (e.g., DREAD: damage/reproducibility/exploitability/affected users/discoverability; STRIDE: spoofing/tampering/repudiation/information disclosure/denial of service/elevation of privilege; CVSS: Common Vulnerability Scoring System) along with more advanced approaches that emulate offensive steps. Sharing cyber data is performed by government agencies (e.g., US Department of Homeland Security) along with information analysis centers (e.g., Multi-State Information Sharing and Analysis Center [MS-ISAC]). In addition to managing known threat data across an attack process, threat evaluation is performed via methodological evaluation of system-level vulnerabilities using model/architecture descriptions (e.g., system modeling language [SysML]) and rolling up developing threat descriptions through techniques like the US Department of Defense (DoD) Cyber Analytics Repository (DoDCAR).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Risk bow-tie,Confidentiality,integrity,availability (CIA),NIST Cybersecurity Framework (CSF),Engineering,"Cyber-physical systems, IoT","Signal, Image and Speech Processing","Communications Engineering, Networks",,,,,,,,,,,,,,,Computer security control (CSC),DoD Cyber Analytics Repository (DoDCAR),,,,,,,Trusted Automated eXchange of Indicator Information (TAXII),Common Vulnerability Scoring System (CVSS),Australian Signal Directorate Essential 8,Cyber Threat Framework (CTF),Damage/reproducibility/exploitability/affected users/discoverability (DREAD),Spoofing/tampering/repudiation/information disclosure/denial of service/elevation of privilege (STRIDE),Security Incident and Event Management (SIEM),Automated Computer Network Defense (Canada DRDC) (ARMOUR),Process for Attack Simulation and Threat Analysis (PASTA),Multi-State Information Sharing and Analysis Center (MS-ISAC),Cyber threat intelligence (CTI)
Chapter ConferencePaper,doi:10.1007/978-981-19-6142-7_38,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-19-6142-7_38,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-981-19-6142-7_38,,,http://dx.doi.org/10.1007/978-981-19-6142-7_38,Observer-Based Adaptive Security Control for Network Control Systems Under TDS Actuator Attacks,0000-0003-0703-2577,"Wang, Liang",0000-0002-3114-4598,"Zhao, Ping",,,"Zhang, Haijun","Chen, Yuehui","Chu, Xianghua","Zhang, Zhao","Hao, Tianyong","Wu, Zhou","Yang, Yimin",Neural Computing for Advanced Applications,false,10.1007/978-981-19-6142-7_38,Springer,Springer Nature Singapore,2022-01-01,Book,978-981-19-6141-0,978-981-19-6142-7,978-981-19-6141-0,OriginalPaper Proceedings,2022-10-21,7899,"©2022 The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","Networked control systems (NCS) have been used widely in many practical fields. The communication connection in NCS allows agents to communicate with each other quickly, which can quickly respond to abrupt changes in the system. NCS depend on computers and multi-purpose networks for operation, rendering them vulnerable to attacks, especially cyber attacks. This paper focuses on time delay switch (TDS) attacks. A method based on Lyapunov theory is proposed to detect and estimate TDS attack in real time, so as to detect the unstable impact of TDS attack and recover from it. Simulation results illustrate the effectiveness of the proposed TDS attack estimator and security control strategy.",International Conference on Neural Computing for Advanced Applications,Springer,ncaa,,,Springer,ncaa2022,NCAA,3,InPerson,Jinan,CN,China,2022,07,08,2022,07,10,http://dl2link.com/ncaa2022/,3.68,3.09,No,38,77,easychair,0,205,Double-blind,,Networked control systems,Adaptive control design,Time-delay switch attack,Luenberger observer,,Computer Science,Artificial Intelligence,Numeric Computing,"Computer Imaging, Vision, Pattern Recognition and Graphics",Information Systems and Communication Service,Computer Communication Networks,Computer Appl. in Social and Behavioral Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter ConferencePaper,doi:10.1007/978-981-15-8752-8_61,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-15-8752-8_61,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-981-15-8752-8_61,,,http://dx.doi.org/10.1007/978-981-15-8752-8_61,Classification and Mapping of Adaptive Security for Mobile Computing,,"Refonaa, J.",,"Jany Shabu, S. L.",,"Dhamodaran, S.","Mallick, Pradeep Kumar","Bhoi, Akash Kumar","Chae, Gyoo-Soo","Kalita, Kanak",,,,"Advances in Electronics, Communication and Computing",false,10.1007/978-981-15-8752-8_61,Springer,Springer Nature Singapore,2021-01-01,Book,978-981-15-8751-1,978-981-15-8752-8,978-981-15-8751-1,OriginalPaper Proceedings,2021-01-29,7818,©2021 Springer Nature Singapore Pte Ltd.,"Within the paper, we examine how to place mobile phones on behalf of permitting correspondences in a fiasco reconvert via connecting the holes amid different types of isolated system. We include structured as well as actualized android applications. In this application, we use this to convey to other colleagues simple to approach to impart utilizing distributed storage; in this module, client transfer the catastrophe area and other client will see the calamity area and get the specific area in map. It sees and gives cell phones the capacities of interchanges in misfortune recuperation such a assembling of mobile phones. This will be able to cooperatively stir up and about in addition to express disaster communication during a energy industrious method through their locale in addition to location information during sort in the direction of assist salvage activities. This application will likewise give the close by clinics and fire station and police headquarters. We group telephone numbers as a replica function so that it can take over the advanced android cells. Exploratory outcomes exhibit that group telephone can suitably assure association necessity besides extraordinarily support salvage activities during misfortune healing.",International Conference on Emerging Trends and Advances in Electrical Engineering and Renewable Energy,Springer,etaeere,,,Springer,etaeere2020a,ETAEERE,,Virtual,,,,2020,03,05,2020,03,06,https://kiit.ac.in/event/international-conference-on-emerging-trends-and-advances-in-electrical-engineering-and-renewable-energy-etaeere-2020/,,,,,,,,,,,Autonomous computing,Security,Software engineering proof,Mapping research,Mobile computing,Engineering,"Electronics and Microelectronics, Instrumentation","Communications Engineering, Networks",Computational Intelligence,Artificial Intelligence,,,,,,,,,,,,,,,,,,"Mythili, Battula",,"Vineetha, Bikki",,,,,,,,,,,,
Chapter ConferencePaper,doi:10.1007/978-3-030-74811-1_128,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-74811-1_128,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-3-030-74811-1_128,,,http://dx.doi.org/10.1007/978-3-030-74811-1_128,Virtual Simulation and Multi-modal Informatics for Public Security Education,,"He, Yang",,,,,"Sugumaran, Vijayan","Xu, Zheng","Zhou, Huiyu",,,,,Application of Intelligent Systems in Multi-modal Information Analytics,false,10.1007/978-3-030-74811-1_128,Springer,Springer International Publishing,2021-01-01,Book,978-3-030-74810-4,978-3-030-74811-1,978-3-030-74810-4,OriginalPaper Proceedings,2021-04-21,11156,"©2021 The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG","To analyze and study It is not only used in engineering field, but also widely used in non engineering field. In public security education I training, such as shooting training, driving training, scene investigation and other teaching, the application of simulation technology can not only improve the training efficiency, reduce the training time, is not restricted by the environment and climate, but also has outstanding effect on ensuring safety, saving expenses and improving quality.",International Conference on Application of Intelligent Systems in Multi-modal Information Analytics ,Springer,mmia,,,Springer,mmia2021,MMIA,,InPerson,Huhehaote,CN,China,2021,04,23,2021,04,24,http://mmia2021.com.cn/,,,,,,,,,,,Simulation technology,Scientific system,Police training,,,Engineering,Computational Intelligence,Artificial Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Article,doi:10.1007/s41870-020-00501-0,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s41870-020-00501-0,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/s41870-020-00501-0,,,http://dx.doi.org/10.1007/s41870-020-00501-0,Multi-modal biometric system using finger knuckle image and retina image with template security using PolyU and DRIVE database,0000-0002-0281-9752,"Patil, Pratap",,"Jagtap, Sudhir",,,,,,,,,,International Journal of Information Technology,false,10.1007/s41870-020-00501-0,Springer,Springer Singapore,2020-12-01,Journal,,,,OriginalPaper,2020-07-21,,©2020 Bharati Vidyapeeth's Institute of Computer Applications and Management,"A wide variety of security applications like computers, laptops, mobile phones, ATM machines, physical access control to property etc. are using biometrics based system for human identification. Today’s Biometrics authentication system can provide highest level of security to the user of the service and the service providers. Today’s uni-modal biometric systems has become mature system and being used for low level to medium level security applications. But, for extremely higher level of security requirements like military base, nuclear plants, research laboratories etc., Finger knuckle image and Retina image based combination can be used, as this combinations provides the highest level of accuracy, low error rates, universality etc. Also the security of Multi-modal biometric templates is very importance as biometric template store vital information of the user. In this research work, Multi-modal Biometric system for higher level security using Finger Knuckle image and Retina image with templates security is developed, experiments are carried out and results are calculated using PolyU database for Finger Knuckle image and DRIVE for Retina images. A Finger Knuckle Image processing starts with Median Filtering, CLAHE method and Canny edge detection. The features extraction is carried using SURF feature method. Once the finger knuckle image template is generated, it is encrypted using RSA algorithm and stored in database. The Retina Image Processing is carried out by applying Green channel followed by Gaussian filtering, CLAHE method is applied on outcome of Gaussian filtering. SURF features set is extracted from retina ROI. Retina image template is generated which is later encrypted using RSA algorithm. The final experiment shows that genuine acceptance rate = 100% is achieved for threshold value 0.35 and False Acceptance Rate is only 1%. The scientific contribution of proposed research work is a multi-biometric system with higher accuracy (GAR is 100%), low error rate (FAR is 1%), better template protection by RSA encryption and efficient hybrid model using finger knuckle image and retina image.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Multi-modal biometric,Biometric template security,Finger knuckle image,Retina image,PolyU database,Computer Science,"Computer Science, general",Artificial Intelligence,Machine Learning,Image Processing and Computer Vision,Software Engineering,"Computer Imaging, Vision, Pattern Recognition and Graphics",2511-2104,2511-2112,12,4,Regular,,1043,1050,41870,2020-10-23,2020-12,DRIVE database,,,,,Original Research,,,,,,,,,,,,,
Chapter ConferencePaper,doi:10.1007/978-3-030-39445-5_45,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-39445-5_45,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-3-030-39445-5_45,,,http://dx.doi.org/10.1007/978-3-030-39445-5_45,An Adaptive Security Architecture for Detecting Ransomware Attack Using Open Source Software,,"Caliaberah, Prya Booshan",,"Armoogum, Sandhya",,"Li, Xiaoming","Arai, Kohei","Kapoor, Supriya","Bhatia, Rahul",,,,,Advances in Information and Communication,false,10.1007/978-3-030-39445-5_45,Springer,Springer International Publishing,2020-01-01,Book,978-3-030-39444-8,978-3-030-39445-5,978-3-030-39444-8,OriginalPaper Proceedings,2020-02-25,11156,©2020 Springer Nature Switzerland AG,"Ransomware is a serious security threat faced by organizations and individuals today, and ransomware attacks are on the increase. There is no infallible solution for protecting against ransomware as the malware code uses metamorphic and polymorphic algorithms to generate different versions thus evading signature detection. Ransomware also uses domain generator algorithms (DGA) to generate new domains for the command and control server (C&C), they constantly exploit new vulnerabilities, and they use various infection vectors. Thus, for an organization to protect itself, an adaptive security architecture is required to constantly monitor the network so as to detect new ransomware infection at an early stage such that it can be blocked before encryption of files occur. This approach is a defence in depth approach which supplements the network defences such as patch management, anti-virus software, intrusion detection, firewalls, and content filtering. A framework for the implementation of the adaptive security architecture model using open source software is presented and the proposed framework is tested against the WannaCry and Petya ransomware. The proposed framework was successfully able to alert of the ransomware attack and by the use of the AppLocker feature on Windows, it was even possible to prevent the Petya ransomware from executing on the victim host.",Future of Information and Communication Conference,Springer,ficc,,,Springer,ficc2020,FICC,,,"San Francisco, CA, CA",US,USA,2020,03,05,2020,03,06,https://saiconference.com/FICC,,,,,,,,,,,Ransomware,Adaptive Security Architecture (ASA),Monitoring,WannaCry,Petya,Engineering,Computational Intelligence,"Communications Engineering, Networks",,,,,,,,,,,,,,,,Snort,OSSEC,,,,,,,AppLocker,,,,,,,,,,
Article,doi:10.1007/s11036-019-01355-y,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s11036-019-01355-y,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/s11036-019-01355-y,,,http://dx.doi.org/10.1007/s11036-019-01355-y,Adaptive Security for Self-Protection of Mobile Computing Devices,,"Ahmad, Aakash",,"Malik, Asad Waqar",,"Alreshidi, Abdulrahman",,,,,,,,Mobile Networks and Applications,false,10.1007/s11036-019-01355-y,Springer,Springer US,2019-09-05,Journal,,,,OriginalPaper,2019-09-05,,"©2019 Springer Science+Business Media, LLC, part of Springer Nature","Mobile computing has emerged as a pervasive technology that empowers its users with portable computation and context-aware communication. Smart systems and infrastructures can exploit portable and context-aware computing technologies to provide any time, any place digitized services on the go. Despite the offered benefits, such as portability, context-sensitivity, and high connectivity, mobile computing also faces some critical challenges. These challenges include resource poverty as well as data security and privacy that need to be addressed to increase the pervasiveness of mobile systems. We propose to provide a self-protection mechanism for mobile devices against the unforeseen security threats that can attack the critical resources of mobile devices. We have unified the concepts of autonomic computing and computer security to develop a framework that enables adaptive security to dynamically configure the security measures of a mobile device. We have developed a framework - an android-based prototype - that supports automation and user decision to protect the critical hardware and software resources of a device. Evaluation results demonstrate (i) framework’s accuracy for runtime detection and minimization of threats, and (ii) framework’s efficiency for device’s resource utilization.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Context-aware computing,Secure mobile systems,Adaptive security,Software engineering,Smart systems,Engineering,"Communications Engineering, Networks",Computer Communication Networks,Electrical Engineering,IT in Business,,,1383-469X,1572-8153,,,,,1,20,11036,,,,,,,"Khan, Wilayat",,"Sajjad, Maryam",,,,,,,,,,,,
Chapter ConferencePaper,doi:10.1007/978-981-10-1627-1_51,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-10-1627-1_51,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-981-10-1627-1_51,,,http://dx.doi.org/10.1007/978-981-10-1627-1_51,A New Adaptative Security Protocol for UAV Network,,"Zouhri, Oumhany",,"Benhadou, Siham",,"Medromi, Hicham","El-Azouzi, Rachid","Menasche, Daniel Sadoc","Sabir, Essaïd","De Pellegrini, Francesco","Benjillali, Mustapha",,,Advances in Ubiquitous Networking 2,false,10.1007/978-981-10-1627-1_51,Springer,Springer Singapore,2017-01-01,Book,978-981-10-1626-4,978-981-10-1627-1,978-981-10-1626-4,OriginalPaper Proceedings,2016-11-04,7818,©2017 Springer Science+Business Media Singapore,"An Unmanned Aerial Vehicle (UAV) is a pilotless aerial vehicle which can be controlled either autonomously by onboard computers or remotely controlled by a pilot at the Ground Control Station (GCS). UAV and Ground Control Station (GCS) define a new form network, this kind of network persuade some specific characteristics as sufficient energy, network connectivity, mobility and network security. These specifications persuade difficult challenges for building a trustworthy and secure communication architecture solution. In this paper we present our new secure communication protocol taking into account the specifications of UAV network. This new architecture depends mostly on the definition of a secure protocol which provides authentication, confidentiality and integrity, in preserving network resources for effective data exchanged between UAV and GCS.",International Symposium on Ubiquitous Networking,Springer,unet,DBLP,unet,Springer,unet2016,UNet,2,,Casablanca,MA,Morocco,2016,05,30,2016,06,01,,,,,,,,,,,,Security architecture,Security protocol,Cryptography,UAV system,,Engineering,"Communications Engineering, Networks",Computer Communication Networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Article,doi:10.1007/s10515-013-0133-z,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s10515-013-0133-z,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/s10515-013-0133-z,,,http://dx.doi.org/10.1007/s10515-013-0133-z,"Adaptable, model-driven security engineering for SaaS cloud-based applications",,"Almorsy, Mohamed",,"Grundy, John",,"Ibrahim, Amani S.",,,,,,,,Automated Software Engineering,false,10.1007/s10515-013-0133-z,Springer,Springer US,2014-04-01,Journal,,,,OriginalPaper,2013-09-18,,©2013 Springer Science+Business Media New York,"Software-as-a-service (SaaS) multi-tenancy in cloud-based applications helps service providers to save cost, improve resource utilization, and reduce service customization and maintenance time. This is achieved by sharing of resources and service instances among multiple “tenants” of the cloud-hosted application. However, supporting multi-tenancy adds more complexity to SaaS applications required capabilities. Security is one of these key requirements that must be addressed when engineering multi-tenant SaaS applications. The sharing of resources among tenants—i.e. multi-tenancy—increases tenants’ concerns about the security of their cloud-hosted assets. Compounding this, existing traditional security engineering approaches do not fit well with the multi-tenancy application model where tenants and their security requirements often emerge after the applications and services were first developed. The resultant applications do not usually support diverse security capabilities based on different tenants’ needs, some of which may change at run-time i.e. after cloud application deployment. We introduce a novel model-driven security engineering approach for multi-tenant, cloud-hosted SaaS applications. Our approach is based on externalizing security from the underlying SaaS application, allowing both application/service and security to evolve at runtime. Multiple security sets can be enforced on the same application instance based on different tenants’ security requirements. We use abstract models to capture service provider and multiple tenants’ security requirements and then generate security integration and configurations at runtime. We use dependency injection and dynamic weaving via Aspect-Oriented Programming (AOP) to integrate security within critical application/service entities at runtime. We explain our approach, architecture and implementation details, discuss a usage example, and present an evaluation of our approach on a set of open source web applications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Software-as-a-service,Model-driven engineering,Adaptive-security,Security engineering,Tenant-oriented security,Computer Science,Artificial Intelligence,Software Engineering/Programming and Operating Systems,,,,,0928-8910,1573-7535,21,2,Regular,,187,224,10515,2014-03-21,2014-04,,,,,,,,,,,,,,,,,,,
Chapter ConferencePaper,doi:10.1007/978-3-319-12087-4_8,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-319-12087-4_8,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-3-319-12087-4_8,,,http://dx.doi.org/10.1007/978-3-319-12087-4_8,EAdroid: Providing Environment Adaptive Security for Android System,,"Liang, Hongliang",,"Dong, Yu",,"Wang, Bin","Lin, Dongdai","Xu, Shouhuai","Yung, Moti",,,,,Information Security and Cryptology,false,10.1007/978-3-319-12087-4_8,Springer,Springer International Publishing,2014-01-01,Book,978-3-319-12086-7,978-3-319-12087-4,978-3-319-12086-7,OriginalPaper Proceedings,2014-10-25,558,©2014 Springer International Publishing Switzerland,"With the rapid popularization of Android system around the world, of the increase in Android malwares post serious threats to the security of users’ Android device and the privacy stored in it. At the same time, many trusted third party institutions (such as military, government institutions) need to customize the security policy of their Android devices according to their regulations, but most of them do not have this capability. This paper proposed an environment adaptive security mechanism for Android platform called EAdroid, which providing a simple way for trusted third party institutions to customize the security policy of their Android devices. EAdroid reforms the framework layer of Android system and synthetically applies Smack security module of Linux. At the same time, the security rules of framework layer and kernel layer in EAdroid can adapt to the current environment context. Series of tests show that EAdroid can efficiently protect the security of user’s devices and privacy with negligible overhead of performance.",International Conference on Information Security and Cryptology,Springer,cisc,DBLP,cisc,Springer,cisc2013,Inscrypt,9,,Guangzhou,CN,China,2013,11,27,2013,11,30,,,,,,,,,,,,Environment adaptive,Security,Android system,Access control,,Computer Science,Systems and Data Security,Cryptology,Coding and Information Theory,Algorithm Analysis and Problem Complexity,,,,,,,,,,,,,,,,,,"Liu, Shuchang",,,,,,,,,,,,,,
Chapter ConferencePaper,doi:10.1007/978-3-319-04873-4_10,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-319-04873-4_10,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-3-319-04873-4_10,,,http://dx.doi.org/10.1007/978-3-319-04873-4_10,Revocable IBE Systems with Almost Constant-Size Key Update,,"Su, Le",,"Lim, Hoon Wei",,"Ling, San","Cao, Zhenfu","Zhang, Fangguo",,,,,,Pairing-Based Cryptography – Pairing 2013,false,10.1007/978-3-319-04873-4_10,Springer,Springer International Publishing,2014-01-01,Book,978-3-319-04872-7,978-3-319-04873-4,978-3-319-04872-7,OriginalPaper Proceedings,,558,©2014 Springer International Publishing Switzerland,"Identity-based encryption (IBE) has been regarded as an attractive alternative to more conventional certificate-based public key systems. It has recently attracted not only considerable research from the academic community, but also interest from the industry and standardization bodies. However, while key revocation is a fundamental requirement to any public key systems, not much work has been done in the identity-based setting. In this paper, we continue the study of revocable IBE (RIBE) initiated by Boldyreva, Goyal, and Kumar. Their proposal of a selective secure RIBE scheme, and a subsequent construction by Libert and Vergnaud in a stronger adaptive security model are based on a binary tree approach, such that their key update size is logarithmic in the number of users. In this paper, we show that the key update size could be further reduced to constant with some small amount of auxiliary information, through a novel combination of the Lewko and Waters IBE scheme and the Camenisch, Kohlweiss, and Soriente pairing-based dynamic accumulator.",International Conference on Pairing-Based Cryptography,Springer,pairing,DBLP,pairing,Springer,pairing2013,Pairing,6,,Beijing,CN,China,2013,11,22,2013,11,24,,,,,,,,,,,,public-key cryptography,identity-based encryption,revocation,accumulator,adaptive security,Computer Science,Cryptology,Systems and Data Security,Coding and Information Theory,Theory of Computation,,,,,,,,,,,,,,,,,,"Wang, Huaxiong",,,,,,,,,,,,,,
Chapter ConferencePaper,doi:10.1007/978-3-319-03584-0_19,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-319-03584-0_19,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-3-319-03584-0_19,,,http://dx.doi.org/10.1007/978-3-319-03584-0_19,Anonymous Identity-Based Broadcast Encryption with Adaptive Security,,"Zhang, Leyou",,"Wu, Qing",,"Mu, Yi","Wang, Guojun","Ray, Indrakshi","Feng, Dengguo","Rajarajan, Muttukrishnan",,,,Cyberspace Safety and Security,false,10.1007/978-3-319-03584-0_19,Springer,Springer International Publishing,2013-01-01,Book,978-3-319-03583-3,978-3-319-03584-0,978-3-319-03583-3,OriginalPaper Proceedings,,558,©2013 Springer International Publishing Switzerland,"Anonymous identity-based encryption(IBE) can be used to build Public-Key Encryption with Keyword Search. But no efficient previous works in the identity-based broadcast encryption are known. In this paper, we extend the anonymous IBE definition to the identity-based broadcast encryption. Then a new construction of anonymous identity-based broadcast encryption is proposed in the standard model. In the new construction, the ciphertexts and private keys are indistinguishable for the different receivers set. The proposed scheme has constant size ciphertexts and achieves adaptive security. In addition, the security of the proposed scheme is reduced to the static assumptions in a composite group.",International Symposium on Cyberspace Safety and Security,Springer,css,DBLP,css,Springer,css2013,CSS,5,,Zhangjiajle,CN,China,2013,11,13,2013,11,15,,,,,,,,,,,,Identity-based encryption,anonymous identity-based broadcast encryption,dual system encryption,static assumptions,standard model,Computer Science,Systems and Data Security,Computer Communication Networks,Cryptology,Computers and Society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter ConferencePaper,doi:10.1007/978-3-642-28166-2_12,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-642-28166-2_12,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-3-642-28166-2_12,,,http://dx.doi.org/10.1007/978-3-642-28166-2_12,Design of Adaptive Security Mechanisms for Real-Time Embedded Systems,,"Saadatmand, Mehrdad",,"Cicchetti, Antonio",,"Sjödin, Mikael","Barthe, Gilles","Livshits, Benjamin","Scandariato, Riccardo",,,,,Engineering Secure Software and Systems,false,10.1007/978-3-642-28166-2_12,Springer,Springer Berlin Heidelberg,2012-01-01,Book,978-3-642-28165-5,978-3-642-28166-2,978-3-642-28165-5,OriginalPaper Proceedings,,558,©2012 Springer-Verlag GmbH Berlin Heidelberg,"Introducing security features in a system is not free and brings along its costs and impacts. Considering this fact is essential in the design of real-time embedded systems which have limited resources. To ensure correct design of these systems, it is important to also take into account impacts of security features on other non-functional requirements, such as performance and energy consumption. Therefore, it is necessary to perform trade-off analysis among non-functional requirements to establish balance among them. In this paper, we target the timing requirements of real-time embedded systems, and introduce an approach for choosing appropriate encryption algorithms at runtime, to achieve satisfaction of timing requirements in an adaptive way, by monitoring and keeping a log of their behaviors. The approach enables the system to adopt a less or more time consuming (but presumably stronger) encryption algorithm, based on the feedback on previous executions of encryption processes. This is particularly important for systems with high degree of complexity which are hard to analyze statistically.",International Symposium on Engineering Secure Software and Systems,Springer,essos,DBLP,essos,Springer,essos2012,ESSoS,4,,Eindhoven,NL,The Netherlands,2012,2,16,2012,2,17,,,,,,,,,,,,Security,real-time embedded systems,runtime adaptation,trade-off,,Computer Science,Computer Communication Networks,Cryptology,Software Engineering/Programming and Operating Systems,Data Structures and Information Theory,Math Applications in Computer Science,Models and Principles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
